date,platform,users
2023-01-29,web,9665
2023-01-29,iOS,1076
2023-01-29,Android,103
2023-01-30,web,8534
2023-01-30,iOS,950
2023-01-30,Android,112
2023-01-31,web,9021
2023-01-31,iOS,912
2023-01-31,Android,109
2023-02-01,web,9196
2023-02-01,iOS,833
2023-02-01,Android,96
2023-02-02,web,10854
2023-02-02,iOS,948
2023-02-02,Android,95
2023-02-03,web,10683
2023-02-03,iOS,1019
2023-02-03,Android,117
2023-02-04,web,10465
2023-02-04,iOS,1078
2023-02-04,Android,119
2023-02-05,web,11387
2023-02-05,iOS,1068
2023-02-05,Android,130
2023-02-06,web,9652
2023-02-06,iOS,873
2023-02-06,Android,119
2023-02-07,web,10076
2023-02-07,iOS,930
2023-02-07,Android,107
2023-02-08,web,10467
2023-02-08,iOS,850
2023-02-08,Android,92
2023-02-09,web,10299
2023-02-09,iOS,928
2023-02-09,Android,90
2023-02-10,web,9494
2023-02-10,iOS,922
2023-02-10,Android,114
2023-02-11,web,10115
2023-02-11,iOS,1018
2023-02-11,Android,98
2023-02-12,web,9418
2023-02-12,iOS,1057
2023-02-12,Android,115
2023-02-13,web,8592
2023-02-13,iOS,977
2023-02-13,Android,123
2023-02-14,web,9028
2023-02-14,iOS,955
2023-02-14,Android,127
2023-02-15,web,10002
2023-02-15,iOS,885
2023-02-15,Android,169
2023-02-16,web,10733
2023-02-16,iOS,1032
2023-02-16,Android,160
2023-02-17,web,10901
2023-02-17,iOS,1010
2023-02-17,Android,145
2023-02-18,web,11758
2023-02-18,iOS,1057
2023-02-18,Android,174
2023-02-19,web,13364
2023-02-19,iOS,1123
2023-02-19,Android,189
2023-02-20,web,11807
2023-02-20,iOS,1064
2023-02-20,Android,189
2023-02-21,web,10171
2023-02-21,iOS,907
2023-02-21,Android,174
2023-02-22,web,11924
2023-02-22,iOS,1156
2023-02-22,Android,227
2023-02-23,web,11700
2023-02-23,iOS,1101
2023-02-23,Android,217
2023-02-24,web,11221
2023-02-24,iOS,1069
2023-02-24,Android,182
2023-02-25,web,11207
2023-02-25,iOS,1051
2023-02-25,Android,175
2023-02-26,web,11706
2023-02-26,iOS,1111
2023-02-26,Android,159
2023-02-27,web,10234
2023-02-27,iOS,922
2023-02-27,Android,163
2023-02-28,web,9708
2023-02-28,iOS,854
2023-02-28,Android,174
2023-03-01,web,9741
2023-03-01,iOS,872
2023-03-01,Android,180
2023-03-02,web,8907
2023-03-02,iOS,883
2023-03-02,Android,145
2023-03-03,web,12031
2023-03-03,iOS,887
2023-03-03,Android,171
2023-03-04,web,11409
2023-03-04,iOS,923
2023-03-04,Android,173
2023-03-05,web,10700
2023-03-05,iOS,979
2023-03-05,Android,177
2023-03-06,web,8663
2023-03-06,iOS,781
2023-03-06,Android,128
2023-03-07,web,8749
2023-03-07,iOS,766
2023-03-07,Android,118
2023-03-08,web,10952
2023-03-08,iOS,1054
2023-03-08,Android,166
2023-03-09,web,10371
2023-03-09,iOS,1027
2023-03-09,Android,155
2023-03-10,web,10107
2023-03-10,iOS,942
2023-03-10,Android,182
2023-03-11,web,10268
2023-03-11,iOS,1016
2023-03-11,Android,167
2023-03-12,web,10488
2023-03-12,iOS,990
2023-03-12,Android,167
2023-03-13,web,9012
2023-03-13,iOS,893
2023-03-13,Android,156
2023-03-14,web,9421
2023-03-14,iOS,882
2023-03-14,Android,140
2023-03-15,web,10052
2023-03-15,iOS,890
2023-03-15,Android,155
2023-03-16,web,8017
2023-03-16,iOS,864
2023-03-16,Android,160
2023-03-17,web,8236
2023-03-17,iOS,816
2023-03-17,Android,127
