date,channel,user_type,sessions,revenue,purchases,engaged_sessions,shipping,tax
2023-01-29,Affiliates,(not set),65,231.57,2,42,20,16.2
2023-01-29,Affiliates,established,596,4141.76,29,421,281.13,185.55
2023-01-29,Affiliates,new,1903,11115.95,78,1287,733,598.09
2023-01-29,Direct,(not set),496,881.18,9,190,82.5,44.21
2023-01-29,Direct,established,5569,6107.51,41,4535,418.5,46.08
2023-01-29,Direct,new,20796,48875.43,336,11563,3360.22,2696.81
2023-01-29,Display,(not set),5,102,1,2,10,7.02
2023-01-29,Display,established,37,0,0,8,0,0
2023-01-29,Display,new,63,0,0,4,0,0
2023-01-29,Email,(not set),604,1192.76,7,364,20,71.51
2023-01-29,Email,established,3791,13241.74,82,2418,641.5,765.9
2023-01-29,Email,new,10184,20938.63,122,5686,1211.66,1288.94
2023-01-29,Organic Search,(not set),105,389.17,2,70,10,21.86
2023-01-29,Organic Search,established,1039,2184.78,11,762,118.56,176.8
2023-01-29,Organic Search,new,9608,10970.59,58,6914,774.44,890.21
2023-01-29,Organic Shopping,(not set),4,0,0,4,0,0
2023-01-29,Organic Shopping,established,24,55.54,1,18,10,4.24
2023-01-29,Organic Shopping,new,132,581.46,3,106,20,40.23
2023-01-29,Organic Social,(not set),7,0,0,6,0,0
2023-01-29,Organic Social,established,89,138.89,1,72,10,0
2023-01-29,Organic Social,new,710,687.18,6,556,50,46.35
2023-01-29,Organic Video,new,1,0,0,1,0,0
2023-01-29,Paid Search,(not set),465,898.83,8,305,76,59.31
2023-01-29,Paid Search,established,3387,7217.8,49,2227,423,430.25
2023-01-29,Paid Search,new,27408,49736.32,365,17755,3588.5,2941.65
2023-01-29,Paid Social,(not set),239,1115.32,4,146,54,74.35
2023-01-29,Paid Social,established,2902,4400.24,34,1787,315,219.9
2023-01-29,Paid Social,new,9126,10168.74,81,4874,598,514.18
2023-01-29,Paid Video,new,1,0,0,1,0,0
2023-01-29,Payment Redirects,(not set),21,459.89,2,19,10,23.52
2023-01-29,Payment Redirects,established,121,1647.79,11,90,125.5,82.98
2023-01-29,Payment Redirects,new,317,1923.34,13,244,132,118
2023-01-29,Referral,(not set),7,0,0,5,0,0
2023-01-29,Referral,established,60,0,0,42,0,0
2023-01-29,Referral,new,122,560.09,4,70,39.03,29.2
2023-01-29,SMS,(not set),425,1366.83,8,211,40,73.99
2023-01-29,SMS,established,3260,8071.1,47,1613,361,465.99
2023-01-29,SMS,new,8642,9613.01,62,2461,400,531.7
2023-01-29,Unassigned,(not set),711,1455.74,12,0,131,87.65
2023-01-29,Unassigned,established,120,147.62,2,0,20,0
2023-01-29,Unassigned,new,162,1745.3,14,0,128.5,113.33
2023-01-30,Affiliates,(not set),63,524.25,4,35,33,31.68
2023-01-30,Affiliates,established,594,3327.9,26,408,195.5,208.1
2023-01-30,Affiliates,new,1872,9131.32,54,1285,516,584.61
2023-01-30,Direct,(not set),487,767.19,4,196,55.5,31.5
2023-01-30,Direct,established,5384,8635.38,60,4273,646,74.7
2023-01-30,Direct,new,21025,42398.94,289,11446,3337.81,2243.41
2023-01-30,Display,(not set),11,0,0,4,0,0
2023-01-30,Display,established,107,0,0,41,0,0
2023-01-30,Display,new,1070,0,0,80,0,0
2023-01-30,Email,(not set),591,1884.28,10,352,97.93,79.26
2023-01-30,Email,established,3787,10186.41,64,2346,542.86,765.32
2023-01-30,Email,new,9981,20521.67,102,5367,857.67,1327.97
2023-01-30,Organic Search,(not set),112,322.58,2,80,20,19.06
2023-01-30,Organic Search,established,1171,2059.38,15,821,209,114.46
2023-01-30,Organic Search,new,9276,11913.08,73,6729,819.52,717.19
2023-01-30,Organic Shopping,(not set),7,0,0,2,0,0
2023-01-30,Organic Shopping,established,46,27.55,1,37,10,1.56
2023-01-30,Organic Shopping,new,161,473.4,4,128,33,31.78
2023-01-30,Organic Social,(not set),9,0,0,8,0,0
2023-01-30,Organic Social,established,93,0,0,67,0,0
2023-01-30,Organic Social,new,593,971.93,8,494,63,59.92
2023-01-30,Paid Search,(not set),345,856.33,10,231,100,42.71
2023-01-30,Paid Search,established,3074,5530.79,39,1981,414,300.75
2023-01-30,Paid Search,new,19932,37476.19,283,13069,2965.45,2240.8
2023-01-30,Paid Social,(not set),247,729.92,5,149,55,41.77
2023-01-30,Paid Social,established,2722,2298.89,23,1582,170,140.46
2023-01-30,Paid Social,new,7667,9958.94,74,3969,574,530.7
2023-01-30,Paid Video,new,1,0,0,0,0,0
2023-01-30,Payment Redirects,(not set),22,432.45,2,11,0,35.05
2023-01-30,Payment Redirects,established,123,1438.16,9,96,75.5,101.3
2023-01-30,Payment Redirects,new,260,1786.77,14,185,222,110.77
2023-01-30,Referral,(not set),14,0,0,9,0,0
2023-01-30,Referral,established,93,64.8,1,60,13,3.81
2023-01-30,Referral,new,162,502.39,2,75,26.06,32.42
