date,channel,quantity
2023-01-29,Affiliates,301
2023-01-29,Cross-network,376
2023-01-29,Direct,896
2023-01-29,Display,1
2023-01-29,Email,597
2023-01-29,Organic Search,192
2023-01-29,Organic Shopping,15
2023-01-29,Organic Social,1
2023-01-29,Paid Search,524
2023-01-29,Paid Social,298
2023-01-29,Payment Redirects,69
2023-01-29,Referral,14
2023-01-29,SMS,372
2023-01-29,Unassigned,65
2023-01-30,Affiliates,243
2023-01-30,Cross-network,241
2023-01-30,Direct,824
2023-01-30,Email,507
2023-01-30,Organic Search,202
2023-01-30,Organic Shopping,14
2023-01-30,Organic Social,7
2023-01-30,Paid Search,436
2023-01-30,Paid Social,296
2023-01-30,Payment Redirects,53
2023-01-30,Referral,8
2023-01-30,SMS,412
2023-01-30,Unassigned,67
2023-01-31,Affiliates,426
2023-01-31,Cross-network,367
2023-01-31,Direct,849
2023-01-31,Display,1
2023-01-31,Email,662
2023-01-31,Organic Search,230
2023-01-31,Organic Shopping,17
2023-01-31,Organic Social,1
2023-01-31,Paid Search,426
2023-01-31,Paid Social,235
2023-01-31,Paid Video,5
2023-01-31,Payment Redirects,77
2023-01-31,Referral,1
2023-01-31,SMS,543
2023-01-31,Unassigned,58
2023-02-01,Affiliates,360
2023-02-01,Cross-network,356
2023-02-01,Direct,1041
2023-02-01,Display,3
2023-02-01,Email,668
2023-02-01,Organic Search,311
2023-02-01,Organic Shopping,26
2023-02-01,Organic Social,18
2023-02-01,Paid Search,524
2023-02-01,Paid Social,302
2023-02-01,Paid Video,1
2023-02-01,Payment Redirects,75
2023-02-01,Referral,7
2023-02-01,SMS,530
2023-02-01,Unassigned,70
2023-02-02,Affiliates,368
2023-02-02,Cross-network,415
2023-02-02,Direct,1161
2023-02-02,Email,817
2023-02-02,Organic Search,229
2023-02-02,Organic Shopping,24
2023-02-02,Organic Social,14
2023-02-02,Paid Search,489
2023-02-02,Paid Social,298
2023-02-02,Payment Redirects,112
2023-02-02,Referral,3
2023-02-02,SMS,709
2023-02-02,Unassigned,139
2023-02-03,Affiliates,501
2023-02-03,Cross-network,377
2023-02-03,Direct,1225
2023-02-03,Email,793
2023-02-03,Organic Search,245
2023-02-03,Organic Shopping,26
