date,sessions,engaged_sessions
2022-11-27,254210,
2022-11-28,309063,
2022-11-29,246267,
2022-11-30,250180,
2022-12-01,212501,
2022-12-02,180565,
2022-12-03,185019,
2022-12-04,180197,
2022-12-05,169331,
2022-12-06,187504,
2022-12-07,176761,
2022-12-08,174439,
2022-12-09,180828,
2022-12-10,181512,
2022-12-11,185396,
2022-12-12,168443,
2022-12-13,156430,
2022-12-14,147683,
2022-12-15,163065,
2022-12-16,161373,
2022-12-17,171014,
2022-12-18,156520,
2022-12-19,153033,
2022-12-20,145366,
2022-12-21,140322,
2022-12-22,134137,
2022-12-23,122043,
2022-12-24,123915,
2022-12-25,156065,
2022-12-26,164284,
2022-12-27,148341,
2022-12-28,139733,
2022-12-29,152779,
2022-12-30,129584,
2022-12-31,117614,
2023-01-01,120392,
2023-01-02,126151,
2023-01-03,124045,
2023-01-04,137820,
2023-01-05,128634,
2023-01-06,120339,
2023-01-07,121918,
2023-01-08,122927,
2023-01-09,115251,
2023-01-10,114592,
2023-01-11,110347,
2023-01-12,118490,
2023-01-13,119509,
2023-01-14,133941,
2023-01-15,135150,
2023-01-16,122911,
2023-01-17,117179,
2023-01-18,107775,
2023-01-19,114165,
2023-01-20,141949,
2023-01-21,151269,
2023-01-22,138744,
2023-01-23,118706,
2023-01-24,112909,
2023-01-25,127799,
2023-01-26,119346,
2023-01-27,112901,
2023-01-28,119523,
2023-01-29,115365,
2023-01-30,111144,
2023-01-31,102653,
2023-02-01,102855,
2023-02-02,114864,
2023-02-03,121245,
2023-02-04,121503,
2023-02-05,127720,
2023-02-06,121733,
2023-02-07,119964,
2023-02-08,116254,
2023-02-09,114054,
2023-02-10,109092,
2023-02-11,112357,
2023-02-12,111044,
2023-02-13,107963,
2023-02-14,105637,
2023-02-15,115552,
2023-02-16,113163,
2023-02-17,110963,
2023-02-18,114853,
2023-02-19,123543,
2023-02-20,123326,
2023-02-21,114867,
2023-02-22,123155,
2023-02-23,129504,
2023-02-24,119183,
2023-02-25,120505,
2023-02-26,127056,
2023-02-27,118848,
2023-02-28,113010,
2023-03-01,112131,
2023-03-02,107323,
2023-03-03,120587,
2023-03-04,116682,
2023-03-05,121794,
2023-03-06,110270,
2023-03-07,106959,
2023-03-08,117105,
2023-03-09,117807,
2023-03-10,115150,
2023-03-11,119047,
2023-03-12,114912,
2023-03-13,107449,
2023-03-14,109049,
2023-03-15,111466,
