date,channel,spend,spend_forecast
2025-02-08,Email,10156.25,10156.25
2025-02-08,SMS,74647,54316.63179
2025-02-08,Paid Search,131990,123131
2025-02-08,Affiliates,14764.09,14985
2025-02-08,Display,39605.72,55593
2025-02-08,Paid Social,168461.83,146052
2025-02-15,Email,10156,10156
2025-02-15,SMS,64515,65844
2025-02-15,Paid Search,150949.68,149263
2025-02-15,Affiliates,17933.86,18165
2025-02-15,Display,83930,67392
2025-02-15,Paid Social,205135.67,177049
2025-02-22,Email,10156,10156
2025-02-22,SMS,58801,77731
2025-02-22,Paid Search,177877.28,176209
2025-02-22,Affiliates,21648.43,21444
2025-02-22,Display,58746.21,79557
2025-02-22,Paid Social,192245.83,209011
2025-03-01,Email,10156,10156
2025-03-01,SMS,104727.54,85646
2025-03-01,Paid Search,200004.89,194151
2025-03-01,Affiliates,21559.3,23628
2025-03-01,Display,80126.78,87658
2025-03-01,Paid Social,202138.14,230293
