channel,sty_id,color_id,inventory_class,season_code,retail_delivery,original_price,first_receipt_date,last_receipt_date,first_sale_date,net_sales_units_ltd,net_sales_cost_ltd,net_sales_retail_ltd
003:Outlet,100011,EMRL,OP,17H1,NOV: NOVEMBER,159,9/27/2017,10/24/2018,2017-10-30,1599,33952.37799,98977.31498
003:Outlet,100043,4100,OP,18S2,MAR: MARCH,149,2/16/2018,4/16/2018,2018-03-06,2582,50959.05115,140635.7892
003:Outlet,100044,1700,OP,18S2,MAR: MARCH,139,1/29/2018,11/23/2019,2018-02-15,984,17657.46634,51798.76235
003:Outlet,100044,4100,OP,18S2,FEB: FEBRUARY,139,2/27/2018,9/19/2019,2018-03-06,1856,33285.94842,94617.54699
003:Outlet,100052,6000,OP,18S2,MAR: MARCH,69,11/10/2017,4/16/2018,2017-11-23,2112,18176.50545,54155.48366
003:Outlet,100074,2500,FP,17H1,NOV: NOVEMBER,299,9/25/2017,9/26/2017,2017-10-15,131,4957.761317,7079.44432
003:Outlet,100079,CRAD,FP,17H1,NOV: NOVEMBER,329,9/26/2017,9/18/2019,2017-10-13,445,15515.96554,38332.41542
003:Outlet,100080,DATD,FP,17H1,NOV: NOVEMBER,329,9/26/2017,9/18/2019,2017-10-13,311,10791.14027,27275.94358
003:Outlet,100097,ESYD,OP,18S1,FEB: FEBRUARY,229,1/10/2018,5/8/2018,2018-01-23,1718,49471.2781,134142.2615
003:Outlet,100105,ETLM,OP,18S1,FEB: FEBRUARY,249,1/11/2018,4/11/2018,2018-01-21,1991,56675.78857,163043.2341
003:Outlet,100145,ESXM,OP,23S1,FEB: FEBRUARY,229,4/2/2018,4/20/2018,2018-04-06,2760,75606.69101,179829.2658
003:Outlet,100155,ETGL,OP,18S2,MAR: MARCH,229,2/27/2018,11/23/2019,2018-03-06,2886,76876.48934,205879.5871
003:Outlet,100183,1001,FP,17H1,NOV: NOVEMBER,149,11/6/2017,5/9/2018,2017-11-24,92,3840.226445,5030.564228
003:Outlet,100189,1700,FP,17H3,JAN: JANUARY,149,11/8/2017,9/23/2019,2017-12-16,288,10961.88207,10001.05114
003:Outlet,100192,6000,FP,17H1,NOV: NOVEMBER,129,11/29/2017,9/18/2019,2018-01-12,124,4964.735756,5551.331283
003:Outlet,100194,1700,FP,17H3,JAN: JANUARY,129,11/8/2017,12/8/2017,2017-12-20,393,10372.60649,12535.90436
003:Outlet,100195,1001,FP,17H3,JAN: JANUARY,129,12/1/2017,2/9/2019,2017-12-23,235,6769.033359,7887.49961
003:Outlet,100198,1700,FP,17H3,JAN: JANUARY,299,11/29/2017,9/18/2019,2018-03-13,201,14134.81699,12562.06976
003:Outlet,100203,EOLD,FP,18S1,FEB: FEBRUARY,369,1/8/2018,1/22/2018,2018-02-07,396,16952.84079,25283.80315
003:Outlet,100217,1001,FP,18S1,FEB: FEBRUARY,279,1/5/2018,4/12/2018,2018-02-10,343,12383.36433,20002.70078
003:Outlet,100269,1700,FP,18S1,FEB: FEBRUARY,199,1/11/2018,9/18/2019,2018-02-07,217,13375.83836,8221.792696
003:Outlet,100273,EQEM,FP,18S3,APR: APRIL,189,2/28/2018,9/18/2019,2018-03-11,174,5296.456463,11465.63201
003:Outlet,100277,EPSM,FP,18S2,MAR: MARCH,249,2/2/2018,11/23/2019,2018-03-03,301,12402.86346,16696.42863
003:Outlet,100289,EOQ,FP,18S1,FEB: FEBRUARY,229,1/17/2018,2/9/2019,2018-02-06,342,12539.67204,17738.47806
003:Outlet,100301,1001,FP,18S1,FEB: FEBRUARY,89,2/23/2018,11/23/2019,2018-03-23,345,7251.368767,6224.715083
003:Outlet,100306,1700,FP,18S2,MAR: MARCH,69,1/3/2018,2/2/2018,2018-02-12,562,6553.595197,8617.859372
003:Outlet,100315,1001,FP,18S2,MAR: MARCH,69,1/8/2018,2/2/2018,2018-03-04,63,660.58003,1471.238476
003:Outlet,100323,EPK,FP,18S1,FEB: FEBRUARY,279,1/18/2018,9/19/2019,2018-04-02,457,21694.50344,17536.48816
003:Outlet,100326,EOHM,FP,17F3,SEP: SEPTEMBER,279,9/5/2017,9/24/2019,2017-12-06,78,6119.207412,4253.997096
003:Outlet,100333,EQSD,FP,18S3,APR: APRIL,189,1/15/2018,7/27/2018,2018-12-18,55,1695.430848,2274.111047
003:Outlet,100335,1001,FP,17F3,SEP: SEPTEMBER,89,10/3/2017,7/4/2018,2017-12-06,43,1016.259886,616.997638
003:Outlet,100335,1700,FP,17F3,SEP: SEPTEMBER,89,10/3/2017,6/12/2018,2017-12-22,50,1081.319255,691.140578
003:Outlet,100347,EQHL,FP,18S1,FEB: FEBRUARY,189,1/3/2018,11/23/2019,2018-04-13,156,5708.11173,5779.824876
003:Outlet,100351,1700,FP,17F3,OCT: OCTOBER,249,9/5/2017,6/12/2018,2018-02-05,66,3300.409523,1983.429513
003:Outlet,100351,EOIM,FP,17F3,OCT: OCTOBER,249,9/8/2017,6/12/2018,2018-01-17,59,4210.36505,1715.729884
003:Outlet,100351,EOJB,FP,17F3,OCT: OCTOBER,249,8/28/2017,9/23/2019,2017-12-26,53,2612.359887,1112.158205
003:Outlet,100355,3071,FP,17F3,SEP: SEPTEMBER,249,10/5/2017,6/12/2018,2017-12-06,12,1041.791348,345.545072
003:Outlet,100359,1001,FP,17F3,SEP: SEPTEMBER,249,10/6/2017,6/12/2018,2018-01-20,48,4951.071305,1798.04216
003:Outlet,100359,3071,FP,17F3,OCT: OCTOBER,249,10/6/2017,6/12/2018,2018-01-07,36,3455.63167,1425.126259
003:Outlet,100360,1001,FP,18S2,MAR: MARCH,99,2/15/2018,9/18/2019,2018-04-10,931,16836.59978,29789.54775
003:Outlet,100360,4000,FP,18S2,MAR: MARCH,99,2/15/2018,11/23/2019,2018-04-04,580,10614.90901,17978.17616
003:Outlet,100361,1001,FP,18S1,FEB: FEBRUARY,179,1/17/2018,11/23/2019,2018-07-31,36,1194.244019,822.628659
003:Outlet,100361,3071,FP,18S1,FEB: FEBRUARY,179,1/17/2018,11/23/2019,2018-02-03,305,10146.33153,14502.11843
003:Outlet,100362,2000,FP,18S1,FEB: FEBRUARY,149,1/17/2018,9/19/2019,2018-03-23,356,10809.16979,9394.610682
003:Outlet,100363,EQWM,FP,18S3,APR: APRIL,189,3/6/2018,9/18/2019,2018-04-07,328,11914.74426,16155.5849
003:Outlet,100375,EQPM,FP,18S3,APR: APRIL,179,3/9/2018,3/9/2018,2018-04-21,313,11019.35187,6004.640317
003:Outlet,100381,EOXM,FP,18S1,FEB: FEBRUARY,329,1/4/2018,9/19/2019,2018-02-04,698,38705.01766,49522.51624
003:Outlet,100382,3000,FP,18S1,FEB: FEBRUARY,199,1/17/2018,11/23/2019,2018-02-18,715,26998.06929,26488.32749
003:Outlet,100384,3000,FP,18S1,FEB: FEBRUARY,169,1/17/2018,11/23/2019,2018-02-20,248,9448.848887,11549.97483
003:Outlet,100385,EVXD,FP,18S3,MAR: MARCH,189,3/2/2018,11/25/2019,2018-03-29,220,7312.018822,7715.580128
003:Outlet,100393,1001,FP,18S1,FEB: FEBRUARY,79,12/15/2017,9/18/2019,2018-08-03,6,71.64,159.45
003:Outlet,100393,1700,FP,18S1,FEB: FEBRUARY,79,12/15/2017,1/4/2018,2018-01-20,230,2800.423279,5315.383546
003:Outlet,100410,EQRD,FP,18S3,APR: APRIL,149,2/13/2018,8/23/2018,2018-04-29,207,5968.44246,8304.637618
003:Outlet,100411,EQRD,FP,18S1,FEB: FEBRUARY,189,12/28/2017,11/23/2019,2018-01-24,215,6569.918869,11141.3279
003:Outlet,100424,1001,FP,17H1,NOV: NOVEMBER,49,9/26/2017,7/25/2018,2017-11-10,75,879.3575819,2808.233208
003:Outlet,100425,EQQM,FP,18S1,FEB: FEBRUARY,329,12/18/2017,9/18/2019,2018-03-12,22,1006.96848,2589.581828
003:Outlet,100426,EQRD,FP,18S1,FEB: FEBRUARY,329,12/29/2017,11/23/2019,2018-01-26,258,11036.36378,22306.67396
003:Outlet,100427,EOTD,FP,18S1,FEB: FEBRUARY,329,2/14/2018,9/18/2019,2018-04-18,50,1773.317335,2250.55625
003:Outlet,100428,EOYM,FP,18S1,FEB: FEBRUARY,279,1/17/2018,9/18/2019,2018-02-24,637,21590.92936,36252.01856
003:Outlet,100429,EPAM,FP,18S1,FEB: FEBRUARY,279,1/19/2018,11/23/2019,2018-03-09,536,19643.60914,30996.35849
003:Outlet,100433,EQQM,FP,18S1,FEB: FEBRUARY,189,12/15/2017,9/18/2019,2018-01-20,463,15249.24415,25970.58571
003:Outlet,100434,1001,FP,18S2,MAR: MARCH,69,2/14/2018,12/31/2018,2018-03-03,554,10137.28294,8342.655038
003:Outlet,100435,EVVM,FP,18S2,MAR: MARCH,329,2/22/2018,9/18/2019,2018-09-23,37,1414.841852,2458.694142
003:Outlet,100438,DVED,OP,17H2,DEC: DECEMBER,119,11/7/2017,12/10/2018,2017-11-11,14351,350066.16,865685.6135
003:Outlet,100454,1001,FP,18M1,MAY: MAY,99,4/23/2018,5/8/2018,2018-05-04,325,7495.276376,6878.408345
003:Outlet,100458,1200,FP,18M1,MAY: MAY,149,4/18/2018,9/18/2019,2018-06-30,177,6589.958754,6098.405528
003:Outlet,100472,1001,FP,18M3,JUL: JULY,99,5/18/2018,11/23/2019,2018-07-06,225,4274.021088,4596.388383
003:Outlet,100504,1001,OP,18M1,MAY: MAY,129,4/11/2018,9/27/2018,2018-04-16,5100,68437.19319,186307.8766
003:Outlet,100504,1501,OP,18M1,MAY: MAY,129,8/27/2018,8/27/2018,2018-08-31,1784,23278.23677,51465.21144
003:Outlet,100504,4602,OP,18M1,SEP: SEPTEMBER,129,8/27/2018,8/27/2018,2018-08-31,1660,26394.29773,43642.27202
003:Outlet,100514,FAVM,FP,18M1,MAY: MAY,299,4/12/2018,11/23/2019,2018-07-18,81,4254.930394,5459.463988
003:Outlet,100516,FAXB,FP,18M1,MAY: MAY,169,4/11/2018,11/23/2019,2018-05-26,69,1481.781356,4111.429127
003:Outlet,100540,FBDM,FP,18M1,MAY: MAY,299,4/19/2018,11/23/2019,2018-07-12,41,1704.67136,3607.059322
003:Outlet,100542,FBCD,FP,18M1,MAY: MAY,299,4/19/2018,11/23/2019,2018-06-09,23,884.2161395,1599.560534
003:Outlet,100549,1001,FP,18M3,JUN: JUNE,179,6/14/2018,11/23/2019,2018-07-16,102,3176.35372,4969.899376
003:Outlet,100549,3196,FP,18M3,JUN: JUNE,179,6/14/2018,11/23/2019,2018-08-18,129,4074.697144,5298.001355
003:Outlet,100550,FBEM,FP,18M1,MAY: MAY,169,4/18/2018,7/4/2018,2018-06-01,79,2767.651117,3474.66858
003:Outlet,100557,1001,FP,18M1,MAY: MAY,69,4/3/2018,10/17/2018,2018-04-27,387,4144.764117,6546.735365
003:Outlet,100557,1700,FP,18M1,MAY: MAY,69,4/3/2018,2/14/2019,2018-05-06,91,1123.545555,1708.38247
003:Outlet,100562,1700,FP,18M1,MAY: MAY,69,4/3/2018,12/28/2018,2018-05-13,445,5540.76372,7270.494343
003:Outlet,100563,1001,FP,18M1,MAY: MAY,79,4/3/2018,11/23/2019,2018-05-01,381,5253.091528,6559.561469
003:Outlet,100564,1001,FP,18M1,MAY: MAY,69,4/3/2018,12/28/2018,2018-05-10,254,2689.57243,4931.077551
003:Outlet,100565,1200,FP,18M1,MAY: MAY,69,4/25/2018,9/4/2018,2018-05-11,243,2491.376717,6709.049911
003:Outlet,100565,4000,FP,18M2,JUN: JUNE,69,4/25/2018,9/4/2018,2018-05-26,230,2674.748948,4675.163972
003:Outlet,100565,4100,FP,18M1,MAY: MAY,69,2/15/2018,5/8/2019,2019-04-25,194,2173.097791,1891.081103
003:Outlet,100574,4100,FP,18M2,JUN: JUNE,89,5/2/2018,10/17/2018,2018-07-03,280,4294.036652,4007.211897
003:Outlet,100582,1001,FP,18M3,JUL: JULY,79,6/5/2018,9/18/2019,2018-07-05,239,2817.167873,5483.250773
003:Outlet,100588,FBLD,FP,18M2,JUN: JUNE,299,5/3/2018,11/23/2019,2018-11-12,36,1662.988646,3225.880156
003:Outlet,100595,ACE,FP,18M1,MAY: MAY,179,5/22/2018,11/23/2019,2018-07-13,24,861.5316,699.674925
003:Outlet,100600,FBTM,FP,18M3,JUL: JULY,349,5/31/2018,7/4/2018,2018-06-17,54,2031.470887,5322.120364
003:Outlet,100608,CAM,FP,18M3,JUL: JULY,229,5/24/2018,9/27/2018,2018-06-07,215,7904.263878,11398.30574
003:Outlet,100615,1173,OP,18M3,JUL: JULY,79,6/4/2018,7/4/2018,2018-05-05,3349,27502.59163,85243.87518
003:Outlet,100631,4100,OP,18M3,JUL: JULY,149,5/29/2018,7/18/2018,2018-06-23,1587,26839.48416,68955.50449
003:Outlet,100652,EXDD,OP,18M2,JUN: JUNE,229,5/25/2018,8/23/2018,2018-06-08,1997,56042.41711,117456.1535
003:Outlet,100655,EXHM,OP,18M2,JUN: JUNE,249,5/16/2018,6/12/2018,2018-06-10,2720,85533.04482,130040.131
003:Outlet,100658,EXYL,OP,18M2,JUN: JUNE,229,6/1/2018,9/7/2018,2018-06-09,3098,81662.16469,208068.1831
003:Outlet,100678,EXYL,OP,18M3,JUL: JULY,249,6/28/2018,10/17/2018,2018-07-07,3032,83029.30195,185712.6938
003:Outlet,100679,EYBD,OP,18M3,JUL: JULY,249,6/19/2018,7/4/2018,2018-06-30,2969,81441.37874,179974.3403
003:Outlet,100681,EYCD,OP,18M3,JUL: JULY,329,6/5/2018,6/22/2018,2018-06-23,2909,83461.06184,209485.9715
003:Outlet,100682,EYDD,OP,18M3,JUL: JULY,249,6/5/2018,7/4/2018,2018-06-22,3192,96019.54968,178178.4854
003:Outlet,100732,1001,FP,18S1,FEB: FEBRUARY,129,4/3/2018,9/19/2019,2018-05-19,526,14836.34796,11054.21857
003:Outlet,100733,1001,FP,18S1,FEB: FEBRUARY,149,4/2/2018,11/23/2019,2018-05-19,500,21157.26594,15984.87619
003:Outlet,100749,FACD,FP,17HO,FEB: FEBRUARY,179,2/19/2018,5/30/2018,2018-04-07,18,723.3417422,607.855475
003:Outlet,100756,1001,FP,18S1,FEB: FEBRUARY,69,1/4/2018,7/8/2019,2018-01-18,223,2164.751541,6945.687391
003:Outlet,100757,1001,FP,18S1,JAN: JANUARY,149,12/29/2017,11/20/2019,2018-03-07,82,5926.409549,2971.329707
003:Outlet,100757,1700,FP,18S1,JAN: JANUARY,149,1/5/2018,9/18/2019,2018-03-07,102,7752.37808,4053.759007
003:Outlet,100758,1003,FP,18S1,JAN: JANUARY,169,12/29/2017,11/20/2019,2018-05-06,109,8892.598587,2851.311789
003:Outlet,100760,1003,FP,18S1,JAN: JANUARY,149,12/29/2017,9/18/2019,2018-05-06,150,13385.74314,4287.247523
003:Outlet,100766,SGDB,FP,18S1,FEB: FEBRUARY,329,11/29/2017,11/23/2019,2018-02-12,51,3969.802352,4142.942466
003:Outlet,100780,1001,FP,18F2,SEP: SEPTEMBER,79,7/18/2018,9/19/2018,2018-08-15,183,3331.587142,3658.603914
003:Outlet,100791,1700,FP,18F2,SEP: SEPTEMBER,69,7/23/2018,1/17/2019,2018-08-19,173,1842.6658,2557.067097
003:Outlet,100794,1001,FP,18F1,AUG: AUGUST,69,6/20/2018,11/23/2019,2018-08-09,254,3518.89945,5613.62864
003:Outlet,100796,1700,FP,18F3,OCT: OCTOBER,69,7/30/2018,11/23/2019,2018-10-20,173,1954.005157,1259.610019
003:Outlet,100807,EPBM,FP,18S1,MAR: MARCH,169,3/23/2018,2/1/2019,2018-04-15,370,14882.31058,25320.32562
003:Outlet,100808,EKUD,FP,18FA,MAR: MARCH,169,4/18/2018,11/25/2019,2018-05-10,286,10918.54053,17670.99932
003:Outlet,100813,1200,FP,18M1,MAY: MAY,69,4/3/2018,1/17/2019,2018-05-26,124,1552.928636,2564.554426
003:Outlet,100816,1001,FP,18M2,JUN: JUNE,89,4/25/2018,9/23/2019,2018-10-30,132,2777.716457,1886.922662
003:Outlet,100821,FASD,FP,18M1,MAY: MAY,159,4/23/2018,11/23/2019,2018-06-12,92,2759.00576,5299.159658
003:Outlet,100838,CAM,FP,18M1,MAY: MAY,229,4/18/2018,9/23/2019,2018-05-02,480,16489.62301,19321.60049
003:Outlet,100839,FBZD,FP,18M2,JUN: JUNE,229,5/8/2018,9/18/2019,2018-06-21,461,15843.49485,21032.22147
003:Outlet,100849,1001,FP,18F1,AUG: AUGUST,79,6/26/2018,8/10/2018,2018-08-09,142,3799.718156,4116.065348
003:Outlet,100868,4000,FP,18F1,AUG: AUGUST,149,7/23/2018,9/18/2019,2018-08-11,494,17715.2239,20762.10242
003:Outlet,100869,1001,FP,18F1,SEP: SEPTEMBER,149,7/24/2018,11/23/2019,2018-08-25,70,2823.694114,3846.077876
003:Outlet,100871,3443,FP,18F1,AUG: AUGUST,149,8/8/2018,12/28/2018,2018-08-22,312,13539.88784,13940.57913
003:Outlet,100876,1001,FP,18F3,OCT: OCTOBER,149,9/20/2018,11/22/2019,2018-10-06,122,4770.068183,4134.300889
003:Outlet,100877,4000,FP,18F1,AUG: AUGUST,129,7/25/2018,11/23/2019,2018-08-11,361,8502.398739,16174.73974
003:Outlet,100877,6000,FP,18F2,AUG: AUGUST,129,8/7/2018,12/28/2018,2018-09-02,210,4784.599082,7286.956243
003:Outlet,100886,1001,FP,18F3,OCT: OCTOBER,129,9/20/2018,11/23/2019,2018-10-06,141,3740.284538,4523.607805
003:Outlet,100889,3443,FP,18F1,AUG: AUGUST,249,8/9/2018,12/28/2018,2018-09-02,135,6419.636097,6392.752204
003:Outlet,100900,EKVD,FP,17H3,MAR: MARCH,299,3/23/2018,9/18/2019,2018-04-13,197,8354.074044,14521.86769
003:Outlet,100901,1001,OP,18M3,JUL: JULY,69,6/4/2018,7/25/2018,2018-06-25,2890,21158.23015,65912.58048
003:Outlet,100902,EKYL,FP,17H3,MAR: MARCH,299,3/23/2018,4/15/2019,2018-04-07,314,13204.48271,19933.35046
003:Outlet,100903,EPBM,FP,17H3,MAR: MARCH,299,3/26/2018,11/22/2019,2018-04-09,271,12451.97306,26945.71448
003:Outlet,100910,1001,FP,18M1,MAY: MAY,149,5/15/2018,9/19/2019,2018-05-25,114,3904.190491,5377.849571
003:Outlet,100946,FKGD,FP,18F1,AUG: AUGUST,189,7/20/2018,11/23/2019,2018-10-11,134,4718.731775,5915.50363
003:Outlet,100949,FKMM,FP,18F2,SEP: SEPTEMBER,229,8/14/2018,11/22/2019,2018-09-01,201,7974.782763,9623.14008
003:Outlet,100954,FKNM,FP,18F1,AUG: AUGUST,189,7/18/2018,11/23/2019,2018-10-16,62,2290.842993,2599.101622
003:Outlet,100964,FKUL,FP,18F2,AUG: AUGUST,189,8/2/2018,11/25/2019,2018-09-15,374,16396.45161,25146.47
003:Outlet,100966,FKWD,FP,18F2,AUG: AUGUST,349,8/21/2018,11/23/2019,2018-11-24,211,9314.660887,13797.0321
003:Outlet,100972,FLA,FP,18F2,SEP: SEPTEMBER,249,8/28/2018,9/18/2019,2019-02-09,50,2028.13,1212.55
003:Outlet,100974,FLBM,FP,18F2,SEP: SEPTEMBER,249,7/23/2018,7/31/2018,2018-08-18,199,7800.487565,8747.964425
003:Outlet,100975,FLBM,FP,18F2,AUG: AUGUST,249,7/23/2018,11/23/2019,2018-08-21,132,5388.929565,6659.150883
003:Outlet,100981,3000,FP,18F3,SEP: SEPTEMBER,159,9/5/2018,11/26/2019,2018-10-23,132,4351.903759,5074.725024
003:Outlet,100987,FLDD,FP,18F2,SEP: SEPTEMBER,329,8/22/2018,9/5/2018,2018-09-08,219,10970.35447,17786.82224
003:Outlet,100989,FLFD,FP,18F2,AUG: AUGUST,329,8/21/2018,11/25/2019,2018-09-07,367,16273.78869,24394.23699
003:Outlet,100996,FKQD,FP,18F3,AUG: AUGUST,279,9/18/2018,12/28/2018,2018-12-08,46,2012.6168,2335.341376
003:Outlet,100999,CSZD,FP,18F1,AUG: AUGUST,159,7/24/2018,11/25/2019,2018-08-10,160,5160.324005,7530.763592
003:Outlet,101010,DTVL,OP,18S3,FEB: FEBRUARY,249,3/27/2018,7/18/2018,2018-04-05,2544,70901.2859,174218.6135
003:Outlet,101041,1001,OP,18F2,SEP: SEPTEMBER,79,7/18/2018,10/17/2018,2018-08-17,2857,30626.11321,80877.26273
003:Outlet,101052,6455,OP,18F1,AUG: AUGUST,169,7/17/2018,9/11/2018,2018-07-31,3544,72395.69386,157762.7415
003:Outlet,101055,1001,OP,18F3,OCT: OCTOBER,69,7/26/2018,9/21/2018,2018-09-21,2453,19567.3855,51455.2329
