date,channel,sale_amt_forecast
2024-12-01,Email,208203.71
2024-12-01,SMS,207962
2024-12-01,Push,52182.24
2024-12-01,Paid Search,386148.58
2024-12-01,Affiliates,147849.68
2024-12-01,Display,274.63
2024-12-01,Paid Social,139152.64
2024-12-01,Direct,392669.76
2024-12-01,Organic Search,142507.43
2024-12-01,Referral,6957.63
2024-12-01,Social,7014.5
2024-12-01,Payment Redirects,13915.26
2024-12-01,Unassigned,34569.94
2024-12-02,Email,363120.42
2024-12-02,SMS,355770.35
2024-12-02,Push,88399.83
2024-12-02,Paid Search,656065.74
2024-12-02,Affiliates,250466.19
2024-12-02,Display,465.23
2024-12-02,Paid Social,235732.88
2024-12-02,Direct,656358.42
2024-12-02,Organic Search,237945.8
2024-12-02,Referral,11786.64
2024-12-02,Social,11882.98
2024-12-02,Payment Redirects,23573.29
2024-12-02,Unassigned,55093.24
2024-12-03,Email,226504.77
2024-12-03,SMS,220652.74
2024-12-03,Push,55291.86
2024-12-03,Paid Search,409159.76
2024-12-03,Affiliates,156660.27
2024-12-03,Display,290.99
2024-12-03,Paid Social,147444.96
2024-12-03,Direct,415473.64
2024-12-03,Organic Search,145701.71
2024-12-03,Referral,7372.25
2024-12-03,Social,7432.5
2024-12-03,Payment Redirects,14744.5
2024-12-03,Unassigned,36332.05
2024-12-04,Email,173676.33
2024-12-04,SMS,175018.91
2024-12-04,Push,44110.17
2024-12-04,Paid Search,326415.26
2024-12-04,Affiliates,124978.82
2024-12-04,Display,232.14
2024-12-04,Paid Social,117627.12
2024-12-04,Direct,333474.58
2024-12-04,Organic Search,121236.41
2024-12-04,Referral,5881.36
2024-12-04,Social,5929.43
2024-12-04,Payment Redirects,11762.71
2024-12-04,Unassigned,29995.76
2024-12-05,Email,201366.86
2024-12-05,SMS,201438.86
2024-12-05,Push,50583.87
2024-12-05,Paid Search,374320.64
2024-12-05,Affiliates,143320.97
2024-12-05,Display,266.21
2024-12-05,Paid Social,134890.32
2024-12-05,Direct,380948.38
2024-12-05,Organic Search,138295.51
2024-12-05,Referral,6744.52
2024-12-05,Social,6799.64
2024-12-05,Payment Redirects,13489.03
2024-12-05,Unassigned,33664.19
2024-12-06,Email,162631.18
2024-12-06,SMS,164480.56
2024-12-06,Push,41527.95
