date,demand_forecast,traffic_forecast,orders_forecast,units_forecast
2024-02-04,258938.3297,156222.22,1952.77775,4979.583263
2024-02-05,256560.447,154787.6,1934.845,4933.85475
2024-02-06,259093.6043,156315.9,1953.94875,4982.569313
2024-02-07,271017.5598,157221,2043.873,5211.87615
2024-02-08,278995.9187,197187.68,2070.47064,5072.653068
2024-02-09,275973.7538,186185.7,2048.0427,5017.704615
2024-02-10,271720.5183,192045.6,2016.4788,4940.37306
2024-02-11,264416.7988,178388.8,1962.2768,4807.57816
2024-02-12,260771.5149,168280.4,1935.2246,4741.30027
2024-02-13,274336.3392,169657.6,2035.8912,4987.93344
2024-02-14,305880.4008,174033,2262.429,5882.3154
2024-02-15,322024.9032,170131.5,2381.841,6192.7866
2024-02-16,338793.624,167058,2505.87,6515.262
2024-02-17,377614.6385,178739.8,2591.7271,8034.35401
2024-02-18,405417.8993,185503.5,2782.5525,8625.91275
2024-02-19,432054.1176,185335.5,2965.368,9192.6408
2024-02-20,315295.9992,172746,2332.071,6063.3846
2024-02-21,351223.4996,179159.1,2597.80695,6754.29807
2024-02-22,274175.616,166167.04,2077.088,4985.0112
2024-02-23,279148.0349,162673.68,2114.75784,5075.418816
2024-02-24,273545.3655,165785.07,2072.313375,4973.5521
2024-02-25,273444.6,165724,2071.55,4971.72
2024-02-26,397581.9264,190412.8,3046.6048,8835.15392
2024-02-27,377975.8283,193091.1,2896.3665,8399.46285
2024-02-28,339028.3512,185565.6,2597.9184,7533.96336
2024-02-29,288061.191,161650.5,2182.28175,5237.4762
2024-03-01,274503.801,159967.25,2079.57425,4990.9782
2024-03-02,267539.8572,162145.368,2026.8171,4864.36104
2024-03-03,262978.3813,158779.4,1984.7425,5259.567625
2024-03-04,246204.504,154845.6,1858.1472,4924.09008
2024-03-05,257865.3719,155692.3,1946.15375,5157.307438
2024-03-06,357577.395,164403.4,2466.051,7151.5479
2024-03-07,359730.21,165393.2,2480.898,7194.6042
2024-03-08,353856.405,162692.6,2440.389,7077.1281
2024-03-09,339860.57,167419,2343.866,6797.2114
2024-03-10,327466.608,161313.6,2258.3904,6549.33216
2024-03-11,306413.072,150942.4,2113.1936,6128.26144
2024-03-12,310755.648,153081.6,2143.1424,6215.11296
2024-03-13,341207.475,156877,2353.155,6824.1495
2024-03-14,253493.5748,152937.3,1911.71625,4874.876438
2024-03-15,255127.8698,153923.3,1924.04125,4906.305188
2024-03-16,258481.4895,155946.6,1949.3325,4970.797875
