date,sessions,purchases,revenue
2023-01-29,1777,6,1513.89
2023-01-30,1646,3,1147.69
2023-01-31,1502,5,1112.78
2023-02-01,1618,11,2392.5
2023-02-02,1551,7,3396.87
2023-02-03,1593,3,669.71
2023-02-04,1855,3,713.81
2023-02-05,1916,6,2458.1
2023-02-06,1765,11,3440.17
2023-02-07,1841,4,945
2023-02-08,1926,7,969.91
2023-02-09,1580,4,960.81
2023-02-10,1562,10,1632.39
2023-02-11,1805,4,846.93
2023-02-12,1669,4,1673.54
2023-02-13,1488,7,1100.81
2023-02-14,1410,0,0
2023-02-15,1633,7,2536.44
2023-02-16,1695,7,2486.3
2023-02-17,1494,6,2545.27
2023-02-18,1691,4,652.34
2023-02-19,1979,7,1534.65
2023-02-20,1981,12,3388.41
2023-02-21,1689,3,586.5
2023-02-22,1815,4,2287.96
2023-02-23,1829,9,2506.31
2023-02-24,1733,14,3411.44
2023-02-25,2090,6,1112.5
2023-02-26,1944,6,1368.01
2023-02-27,1839,9,1821.49
2023-02-28,1653,7,1307.96
2023-03-01,1679,4,1539.3
2023-03-02,1591,8,2362.68
2023-03-03,1723,8,1894.43
2023-03-04,1832,9,3100.55
2023-03-05,1760,3,846.19
2023-03-06,1542,2,219.45
2023-03-07,1602,3,530.87
2023-03-08,1564,5,1535.86
2023-03-09,1578,8,1131.84
2023-03-10,1701,7,1065.55
2023-03-11,1771,11,2104.98
2023-03-12,1947,11,2686.3
2023-03-13,1643,5,1153.8
2023-03-14,1570,6,2096.22
2023-03-15,1676,5,1254.25
2023-03-16,1502,4,867.82
2023-03-17,1547,8,1797.83
2023-03-18,1719,3,505.21
2023-03-19,1967,9,1699.99
2023-03-20,1600,4,937.52
2023-03-21,1602,8,1960.87
2023-03-22,1906,9,1803.09
2023-03-23,1943,6,1177.51
2023-03-24,2141,5,1154.96
2023-03-25,2025,6,1324.22
2023-03-26,2256,7,1500.13
2023-03-27,2057,4,1239.41
2023-03-28,1953,6,2202.59
2023-03-29,1693,6,1304.59
2023-03-30,1572,10,3004.56
2023-03-31,1815,5,1236.46
2023-04-01,2041,7,1306.4
2023-04-02,1943,4,690.02
2023-04-03,1701,4,560.6
2023-04-04,1597,4,844.27
2023-04-05,1787,14,2793.45
2023-04-06,1553,6,1099.2
2023-04-07,1970,14,3820.18
2023-04-08,1947,5,1172.39
2023-04-09,2131,8,1469.37
2023-04-10,1763,6,1512.81
2023-04-11,1505,7,1027.13
2023-04-12,1390,4,2839.95
2023-04-13,1622,11,2203.82
2023-04-14,1678,4,717.84
2023-04-15,1743,10,1928.56
2023-04-16,1780,4,745.22
2023-04-17,1914,7,1923.07
2023-04-18,1707,7,1632.88
2023-04-19,1560,8,1532.39
2023-04-20,1900,8,1826.72
2023-04-21,1940,12,1998.79
2023-04-22,2134,4,780.24
2023-04-23,2441,10,2727.43
2023-04-24,2244,1,210.68
2023-04-25,1851,10,2422.92
2023-04-26,1669,3,731.87
2023-04-27,1975,5,1035.87
2023-04-28,1860,7,2392.78
2023-04-29,1830,4,917.87
2023-04-30,1830,12,3827.77
2023-05-01,1655,8,1195.06
2023-05-02,1587,1,162.18
2023-05-03,1530,9,4198.46
2023-05-04,1654,8,1037.16
2023-05-05,1669,7,1550.54
2023-05-06,1604,6,1204.55
2023-05-07,1843,15,2842.01
2023-05-08,1761,9,3019.94
2023-05-09,1652,8,1091.79
2023-05-10,1670,5,961.34
2023-05-11,1498,6,2149.71
2023-05-12,1618,6,2276.77
2023-05-13,1742,9,3164.75
2023-05-14,1725,6,2493.61
2023-05-15,1610,2,392.57
2023-05-16,1707,10,2692.07
