date,channel,sessions,revenue,purchases,engaged_sessions,shipping,tax
2023-01-29,Affiliates,2566,15489.28,109,1754,1034.13,799.84
2023-01-29,Direct,26302,55864.12,386,16303,3861.22,2787.1
2023-01-29,Display,105,102,1,14,10,7.02
2023-01-29,Email,14465,35373.13,211,8496,1873.16,2126.35
2023-01-29,Organic Search,10845,13544.54,71,7770,903,1088.87
2023-01-29,Organic Shopping,160,637,4,128,30,44.47
2023-01-29,Organic Social,741,826.07,7,576,60,46.35
2023-01-29,Organic Video,1,0,0,1,0,0
2023-01-29,Paid Search,31237,57852.95,422,20089,4087.5,3431.21
2023-01-29,Paid Social,12534,15684.3,119,6910,967,808.43
2023-01-29,Paid Video,1,0,0,1,0,0
2023-01-29,Payment Redirects,460,4031.02,26,353,267.5,224.5
2023-01-29,Referral,189,560.09,4,117,39.03,29.2
2023-01-29,SMS,12558,19050.94,117,4303,801,1071.68
2023-01-29,Unassigned,993,3348.66,28,0,279.5,200.98
2023-01-30,Affiliates,2528,12983.47,84,1725,744.5,824.39
2023-01-30,Direct,26280,51801.51,353,15810,4039.31,2349.61
2023-01-30,Display,1187,0,0,125,0,0
2023-01-30,Email,14496,32592.36,176,8112,1498.46,2172.55
2023-01-30,Organic Search,10527,14295.04,90,7639,1048.52,850.71
2023-01-30,Organic Shopping,214,500.95,5,167,43,33.34
2023-01-30,Organic Social,650,971.93,8,527,63,59.92
2023-01-30,Paid Search,23138,43863.31,332,15351,3479.45,2584.26
2023-01-30,Paid Social,10634,12987.75,102,5749,799,712.93
2023-01-30,Paid Video,1,0,0,0,0,0
2023-01-30,Payment Redirects,406,3657.38,25,292,297.5,247.12
2023-01-30,Referral,268,567.19,3,144,39.06,36.23
2023-01-30,SMS,15648,20808.96,131,6584,1172.5,1210.22
2023-01-30,Unassigned,1084,3892.3,25,7,227.19,292.23
2023-01-31,Affiliates,2259,22166.31,122,1578,953,1281.01
2023-01-31,Direct,24877,49441.69,364,14482,3926.5,2341.41
2023-01-31,Display,459,98.19,1,87,10,8.2
2023-01-31,Email,14353,37323.15,221,8734,1974.83,2364.54
2023-01-31,Organic Search,10183,15458.26,89,7271,967.88,730.07
2023-01-31,Organic Shopping,282,459.98,4,195,30,28.68
2023-01-31,Organic Social,670,589.51,4,525,20,35.5
2023-01-31,Organic Video,2,0,0,2,0,0
2023-01-31,Paid Search,22396,46450.78,352,14978,3448.09,2740.15
2023-01-31,Paid Social,10387,12905.49,95,5594,787.5,748.03
2023-01-31,Paid Video,4,171.06,1,3,0,13.02
2023-01-31,Payment Redirects,392,5387.79,32,282,340,311.07
2023-01-31,Referral,204,302.36,1,126,30.82,13.81
2023-01-31,SMS,16053,27886.52,168,7855,1509.5,1609.55
2023-01-31,Unassigned,1147,2973.99,21,0,251,143.3
2023-02-01,Affiliates,2204,18060.32,106,1551,951.35,970.85
2023-02-01,Direct,24556,64061.16,438,13959,4471.34,2931.02
2023-02-01,Display,103,221.83,1,29,0,0
2023-02-01,Email,15966,39632.39,241,9725,1889.19,2467.7
2023-02-01,Organic Search,9975,19356.56,123,7292,1350.68,1471.74
2023-02-01,Organic Shopping,382,811.87,5,257,67,36.02
2023-02-01,Organic Social,920,1952.55,11,705,95.5,132.21
2023-02-01,Organic Video,3,0,0,1,0,0
