Segment,Date,Session Custom Channel Group,Platform,Sessions,Total revenue,Purchases,Engaged sessions,Shipping amount,Tax amount
Good Sessions,1/29/2023,Affiliates,web,2566,15489.28,109,1754,1034.13,799.84
Good Sessions,1/29/2023,Direct,Android,92,517.31,1,76,13,0
Good Sessions,1/29/2023,Direct,iOS,6874,10446.4,75,6005,791,0
Good Sessions,1/29/2023,Direct,web,19748,44900.41,310,10106,3057.22,2787.1
Good Sessions,1/29/2023,Display,web,105,102,1,14,10,7.02
Good Sessions,1/29/2023,Email,iOS,9,0,0,8,0,0
Good Sessions,1/29/2023,Email,web,14450,35373.13,211,8483,1873.16,2126.35
Good Sessions,1/29/2023,Organic Search,Android,272,811.1,3,244,58,0
Good Sessions,1/29/2023,Organic Search,web,10563,12733.44,68,7507,845,1088.87
Good Sessions,1/29/2023,Organic Shopping,web,160,637,4,128,30,44.47
Good Sessions,1/29/2023,Organic Social,Android,1,0,0,1,0,0
Good Sessions,1/29/2023,Organic Social,web,804,826.07,7,633,60,46.35
Good Sessions,1/29/2023,Organic Video,web,1,0,0,1,0,0
Good Sessions,1/29/2023,Paid Search,Android,358,486.39,5,305,52.5,0
Good Sessions,1/29/2023,Paid Search,iOS,138,242.62,2,117,10,0
Good Sessions,1/29/2023,Paid Search,web,30786,57123.94,415,19737,4025,3431.21
Good Sessions,1/29/2023,Paid Social,web,12451,15684.3,119,6841,967,808.43
Good Sessions,1/29/2023,Paid Video,web,1,0,0,1,0,0
Good Sessions,1/29/2023,Payment Redirects,web,460,4031.02,26,353,267.5,224.5
Good Sessions,1/29/2023,Referral,web,189,560.09,4,117,39.03,29.2
Good Sessions,1/29/2023,SMS,web,12558,19050.94,117,4303,801,1071.68
Good Sessions,1/29/2023,Unassigned,Android,14,0,0,0,0,0
Good Sessions,1/29/2023,Unassigned,iOS,107,41.13,1,0,10,0
Good Sessions,1/29/2023,Unassigned,web,872,3307.53,27,0,269.5,200.98
Good Sessions,1/30/2023,Affiliates,web,2528,12983.47,84,1725,744.5,824.39
Good Sessions,1/30/2023,Direct,Android,92,387.15,2,78,22.5,0
Good Sessions,1/30/2023,Direct,iOS,6284,11999.06,85,5433,969,0
Good Sessions,1/30/2023,Direct,web,20185,39415.3,266,10323,3047.81,2349.61
Good Sessions,1/30/2023,Display,web,1187,0,0,125,0,0
