date,sessions,purchases,revenue
2023-01-29,7449,30,8680.85
2023-01-30,7985,27,8521.79
2023-01-31,6807,30,7239.52
2023-02-01,7186,44,9935.07
2023-02-02,7865,38,9712.27
2023-02-03,8166,36,7469.75
2023-02-04,8894,25,8219.21
2023-02-05,8956,33,10358.37
2023-02-06,8336,37,12389.89
2023-02-07,8104,26,5847.05
2023-02-08,8121,41,8924.39
2023-02-09,7817,34,8515.07
2023-02-10,7964,35,7345.38
2023-02-11,8377,24,6217.58
2023-02-12,8053,19,6408.72
2023-02-13,6839,36,8684.59
2023-02-14,6917,32,8452.45
2023-02-15,7677,35,10106.68
2023-02-16,7451,43,10146.74
2023-02-17,7457,51,13452.54
2023-02-18,8474,48,11920.17
2023-02-19,8551,48,9878.14
2023-02-20,8119,54,13683.68
2023-02-21,8281,43,13437.25
2023-02-22,8776,38,10032.06
2023-02-23,7743,40,9514.69
2023-02-24,8568,50,14445.73
2023-02-25,8535,36,9016.14
2023-02-26,9040,29,7567.24
2023-02-27,8956,25,5015.42
2023-02-28,8535,28,5622.38
2023-03-01,8635,37,7627.29
2023-03-02,7999,24,5937.35
2023-03-03,7889,38,8109.7
2023-03-04,8245,36,8425.43
2023-03-05,8408,27,7511.44
2023-03-06,8035,21,4721.45
2023-03-07,7804,29,7224.91
2023-03-08,7890,41,9845.76
2023-03-09,8185,44,9237.4
2023-03-10,9089,30,6964.66
2023-03-11,9025,35,7418.76
2023-03-12,9327,42,10187.75
2023-03-13,8967,47,12074.93
2023-03-14,8517,55,15360.77
2023-03-15,9670,33,8877.11
2023-03-16,8479,33,9270.67
2023-03-17,7613,30,9468.85
2023-03-18,8213,37,6798.72
2023-03-19,9185,34,7595.65
2023-03-20,7862,25,7133.11
2023-03-21,8100,33,7783.14
2023-03-22,8619,38,11985.52
2023-03-23,9769,34,7713.75
2023-03-24,9345,33,8919.54
2023-03-25,8909,38,9622.31
2023-03-26,10024,41,10441.26
2023-03-27,9462,35,8339.7
2023-03-28,9088,39,8888.38
2023-03-29,7671,35,7149.55
2023-03-30,7477,35,9170
2023-03-31,8422,49,11368.21
2023-04-01,9087,46,10878.17
2023-04-02,8828,29,6155.3
2023-04-03,8081,22,4656.09
2023-04-04,7974,30,6053.06
2023-04-05,8001,40,9682.09
2023-04-06,7976,44,10647.73
2023-04-07,8340,52,13337.41
2023-04-08,7575,34,7958.29
2023-04-09,7737,27,6000.21
2023-04-10,7927,39,11871.5
2023-04-11,7805,45,12433.27
2023-04-12,7384,46,12708.8
2023-04-13,7590,34,7891.08
2023-04-14,7366,37,10756.23
2023-04-15,7278,37,9564.76
2023-04-16,7460,38,8880.4
2023-04-17,7725,35,8508.06
2023-04-18,7385,35,9618.13
2023-04-19,7023,34,6248.94
2023-04-20,7113,44,8585.14
2023-04-21,7496,49,11026.71
2023-04-22,7685,51,10186.33
2023-04-23,9001,54,12326.54
2023-04-24,9195,30,11168.87
