date,country_code,sessions,purchases,revenue
2023-01-29,CA,1777,6,1513.89
2023-01-29,GB,1938,5,2622.97
2023-01-30,CA,1646,3,1147.69
2023-01-30,GB,1810,6,1475.44
2023-01-31,CA,1502,5,1112.78
2023-01-31,GB,1684,3,759.23
2023-02-01,CA,1618,11,2392.5
2023-02-01,GB,1753,6,1228.41
2023-02-02,CA,1551,7,3396.87
2023-02-02,GB,1567,6,1621.45
2023-02-03,CA,1593,3,669.71
2023-02-03,GB,1552,10,1984.94
2023-02-04,CA,1855,3,713.81
2023-02-04,GB,1783,6,1860.52
2023-02-05,CA,1916,6,2458.1
2023-02-05,GB,1979,6,1387.38
2023-02-06,CA,1765,11,3440.17
2023-02-06,GB,1727,7,1918.62
2023-02-07,CA,1841,4,945
2023-02-07,GB,1414,0,0
2023-02-08,CA,1926,7,969.91
2023-02-08,GB,1458,5,782.55
2023-02-09,CA,1580,4,960.81
2023-02-09,GB,1438,4,960.06
2023-02-10,CA,1562,10,1632.39
2023-02-10,GB,1460,5,1288.22
2023-02-11,CA,1805,4,846.93
2023-02-11,GB,1597,3,1122.05
2023-02-12,CA,1669,4,1673.54
2023-02-12,GB,1639,1,166.71
2023-02-13,CA,1488,7,1100.81
2023-02-13,GB,1512,7,2368.3
2023-02-14,CA,1410,0,0
2023-02-14,GB,1514,2,768.34
2023-02-15,CA,1633,7,2536.44
2023-02-15,GB,1646,5,2008.47
2023-02-16,CA,1695,7,2486.3
2023-02-16,GB,1595,5,1754.27
2023-02-17,CA,1494,6,2545.27
2023-02-17,GB,1698,6,1592.41
2023-02-18,CA,1691,4,652.34
2023-02-18,GB,1903,1,372.69
2023-02-19,CA,1979,7,1534.65
2023-02-19,GB,1861,3,767.77
2023-02-20,CA,1981,12,3388.41
2023-02-20,GB,1796,4,2028.19
2023-02-21,CA,1689,3,586.5
2023-02-21,GB,1514,3,718.02
2023-02-22,CA,1815,4,2287.96
2023-02-22,GB,1623,4,867.93
2023-02-23,CA,1829,9,2506.31
2023-02-23,GB,1610,0,0
2023-02-24,CA,1733,14,3411.44
2023-02-24,GB,1601,3,380.76
2023-02-25,CA,2090,6,1112.5
2023-02-25,GB,1614,2,736.02
2023-02-26,CA,1944,6,1368.01
2023-02-26,GB,1821,1,118.22
2023-02-27,CA,1839,9,1821.49
2023-02-27,GB,1619,1,339.45
2023-02-28,CA,1653,7,1307.96
2023-02-28,GB,1658,5,1046.92
2023-03-01,CA,1679,4,1539.3
2023-03-01,GB,1723,6,1386.27
2023-03-02,CA,1591,8,2362.68
2023-03-02,GB,1727,3,887.62
2023-03-03,CA,1723,8,1894.43
2023-03-03,GB,1526,2,469.45
2023-03-04,CA,1832,9,3100.55
2023-03-04,GB,1604,5,1262.72
2023-03-05,CA,1760,3,846.19
2023-03-05,GB,1824,2,537.24
2023-03-06,CA,1542,2,219.45
2023-03-06,GB,1774,3,565.54
2023-03-07,CA,1602,3,530.87
2023-03-07,GB,1827,3,754.92
2023-03-08,CA,1564,5,1535.86
2023-03-08,GB,1618,8,2262.13
2023-03-09,CA,1578,8,1131.84
2023-03-09,GB,1702,8,1792
2023-03-10,CA,1701,7,1065.55
2023-03-10,GB,1616,3,751.17
2023-03-11,CA,1771,11,2104.98
2023-03-11,GB,1810,3,659.66
2023-03-12,CA,1947,11,2686.3
2023-03-12,GB,1897,7,1515.01
2023-03-13,CA,1643,5,1153.8
2023-03-13,GB,1683,6,1178.46
2023-03-14,CA,1570,6,2096.22
2023-03-14,GB,1733,8,2122.86
2023-03-15,CA,1676,5,1254.25
2023-03-15,GB,1833,3,938.42
2023-03-16,CA,1502,4,867.82
2023-03-16,GB,1608,9,3040.33
2023-03-17,CA,1547,8,1797.83
2023-03-17,GB,1366,5,2562.21
2023-03-18,CA,1719,3,505.21
2023-03-18,GB,1508,8,912.18
2023-03-19,CA,1967,9,1699.99
2023-03-19,GB,1652,3,1315.66
2023-03-20,CA,1600,4,937.52
2023-03-20,GB,1408,3,810.95
2023-03-21,CA,1602,8,1960.87
2023-03-21,GB,1485,3,1073.83
2023-03-22,CA,1906,9,1803.09
2023-03-22,GB,1674,4,957.35
2023-03-23,CA,1943,6,1177.51
2023-03-23,GB,1727,3,507.76
2023-03-24,CA,2141,5,1154.96
2023-03-24,GB,1601,3,511.24
2023-03-25,CA,2025,6,1324.22
2023-03-25,GB,1657,3,577.79
2023-03-26,CA,2256,7,1500.13
2023-03-26,GB,1908,10,2905.09
2023-03-27,CA,2057,4,1239.41
2023-03-27,GB,1680,2,414.78
2023-03-28,CA,1953,6,2202.59
2023-03-28,GB,1621,6,1279.33
2023-03-29,CA,1693,6,1304.59
2023-03-29,GB,1492,2,1176.19
2023-03-30,CA,1572,10,3004.56
2023-03-30,GB,1445,4,1385.71
2023-03-31,CA,1815,5,1236.46
2023-03-31,GB,1463,3,922.2
2023-04-01,CA,2041,7,1306.4
2023-04-01,GB,1671,4,1457.14
2023-04-02,CA,1943,4,690.02
2023-04-02,GB,1788,4,644.78
2023-04-03,CA,1701,4,560.6
2023-04-03,GB,1683,3,1105.64
2023-04-04,CA,1597,4,844.27
2023-04-04,GB,1493,8,1763.85
2023-04-05,CA,1787,14,2793.45
2023-04-05,GB,1763,7,1693.07
2023-04-06,CA,1553,6,1099.2
2023-04-06,GB,1533,5,1582.15
2023-04-07,CA,1970,14,3820.18
2023-04-07,GB,1534,2,296.06
2023-04-08,CA,1947,5,1172.39
2023-04-08,GB,1570,4,1134.29
2023-04-09,CA,2131,8,1469.37
2023-04-09,GB,1676,3,555.2
2023-04-10,CA,1763,6,1512.81
2023-04-10,GB,1714,2,503.57
2023-04-11,CA,1505,7,1027.13
2023-04-11,GB,1544,2,586.69
2023-04-12,CA,1390,4,2839.95
2023-04-12,GB,1604,3,547.56
2023-04-13,CA,1622,11,2203.82
2023-04-13,GB,1529,6,1096.33
2023-04-14,CA,1678,4,717.84
2023-04-14,GB,1623,5,1133.66
2023-04-15,CA,1743,10,1928.56
2023-04-15,GB,1480,2,552.66
2023-04-16,CA,1780,4,745.22
2023-04-16,GB,1582,2,679.81
2023-04-17,CA,1914,7,1923.07
2023-04-17,GB,1722,4,885.62
2023-04-18,CA,1707,7,1632.88
2023-04-18,GB,1548,3,507.2
2023-04-19,CA,1560,8,1532.39
2023-04-19,GB,1517,10,1691.45
2023-04-20,CA,1900,8,1826.72
2023-04-20,GB,1319,6,943.52
2023-04-21,CA,1940,12,1998.79
2023-04-21,GB,1555,8,1601.59
2023-04-22,CA,2134,4,780.24
2023-04-22,GB,1631,7,1575.18
2023-04-23,CA,2441,10,2727.43
2023-04-23,GB,2008,7,1176.23
2023-04-24,CA,2244,1,210.68
2023-04-24,GB,1803,8,4970.69
2023-04-25,CA,1851,10,2422.92
2023-04-25,GB,1447,2,484.23
2023-04-26,CA,1669,3,731.87
2023-04-26,GB,1369,8,1798.34
2023-04-27,CA,1975,5,1035.87
2023-04-27,GB,1613,4,1422.77
2023-04-28,CA,1860,7,2392.78
2023-04-28,GB,1474,9,1548.91
2023-04-29,CA,1830,4,917.87
2023-04-29,GB,1560,5,692.9
2023-04-30,CA,1830,12,3827.77
2023-04-30,GB,1573,5,1333.01
2023-05-01,CA,1655,8,1195.06
2023-05-01,GB,1619,6,1894.29
2023-05-02,CA,1587,1,162.18
2023-05-02,GB,1421,4,692.16
2023-05-03,CA,1530,9,4198.46
2023-05-03,GB,1346,7,1313.77
2023-05-04,CA,1654,8,1037.16
2023-05-04,GB,1382,8,1472.11
2023-05-05,CA,1669,7,1550.54
2023-05-05,GB,1283,2,317.52
2023-05-06,CA,1604,6,1204.55
2023-05-06,GB,1550,7,996.79
2023-05-07,CA,1843,15,2842.01
2023-05-07,GB,1433,4,2261.13
2023-05-08,CA,1761,9,3019.94
2023-05-08,GB,1693,5,1515.03
2023-05-09,CA,1652,8,1091.79
2023-05-09,GB,1434,5,1336.65
2023-05-10,CA,1670,5,961.34
2023-05-10,GB,1375,6,1688.18
2023-05-11,CA,1498,6,2149.71
2023-05-11,GB,1323,4,2123.92
2023-05-12,CA,1618,6,2276.77
