date,channel,platform,quantity
2023-01-29,Affiliates,web,301
2023-01-29,Direct,Android,12
2023-01-29,Direct,iOS,169
2023-01-29,Direct,web,715
2023-01-29,Display,web,1
2023-01-29,Email,web,597
2023-01-29,Organic Search,Android,18
2023-01-29,Organic Search,web,174
2023-01-29,Organic Shopping,web,10
2023-01-29,Organic Social,web,11
2023-01-29,Paid Search,Android,8
2023-01-29,Paid Search,iOS,5
2023-01-29,Paid Search,web,887
2023-01-29,Paid Social,web,298
2023-01-29,Payment Redirects,web,69
2023-01-29,Referral,web,9
2023-01-29,SMS,web,372
2023-01-29,Unassigned,iOS,1
2023-01-29,Unassigned,web,64
2023-01-30,Affiliates,web,243
2023-01-30,Direct,Android,9
2023-01-30,Direct,iOS,193
2023-01-30,Direct,web,622
2023-01-30,Email,web,507
2023-01-30,Organic Search,Android,3
2023-01-30,Organic Search,web,199
2023-01-30,Organic Shopping,web,8
2023-01-30,Organic Social,web,15
2023-01-30,Paid Search,Android,6
2023-01-30,Paid Search,web,671
2023-01-30,Paid Social,web,296
2023-01-30,Payment Redirects,web,53
2023-01-30,Referral,web,6
2023-01-30,SMS,web,412
2023-01-30,Unassigned,iOS,1
2023-01-30,Unassigned,web,66
2023-01-31,Affiliates,web,426
2023-01-31,Direct,Android,3
2023-01-31,Direct,iOS,172
2023-01-31,Direct,web,674
2023-01-31,Display,web,1
2023-01-31,Email,web,662
2023-01-31,Organic Search,Android,5
2023-01-31,Organic Search,web,225
2023-01-31,Organic Shopping,web,4
2023-01-31,Organic Social,web,16
2023-01-31,Paid Search,Android,4
2023-01-31,Paid Search,iOS,7
2023-01-31,Paid Search,web,782
2023-01-31,Paid Social,web,233
2023-01-31,Paid Video,web,5
2023-01-31,Payment Redirects,web,77
2023-01-31,Referral,web,1
2023-01-31,SMS,web,543
2023-01-31,Unassigned,Android,6
2023-01-31,Unassigned,web,52
2023-02-01,Affiliates,web,360
2023-02-01,Direct,Android,10
2023-02-01,Direct,iOS,213
2023-02-01,Direct,web,818
2023-02-01,Display,web,3
2023-02-01,Email,web,668
2023-02-01,Organic Search,Android,4
2023-02-01,Organic Search,web,307
2023-02-01,Organic Shopping,web,12
2023-02-01,Organic Social,web,33
2023-02-01,Paid Search,Android,15
2023-02-01,Paid Search,iOS,2
2023-02-01,Paid Search,web,864
2023-02-01,Paid Social,web,302
2023-02-01,Payment Redirects,web,75
2023-02-01,Referral,web,6
2023-02-01,SMS,web,530
2023-02-01,Unassigned,iOS,7
2023-02-01,Unassigned,web,63
2023-02-02,Affiliates,web,368
2023-02-02,Direct,Android,5
