date,channel,user_type,quantity
2023-01-29,Affiliates,(not set),3
2023-01-29,Affiliates,established,70
2023-01-29,Affiliates,new,228
2023-01-29,Direct,(not set),19
2023-01-29,Direct,established,111
2023-01-29,Direct,new,766
2023-01-29,Display,(not set),1
2023-01-29,Email,(not set),20
2023-01-29,Email,established,247
2023-01-29,Email,new,330
2023-01-29,Organic Search,(not set),6
2023-01-29,Organic Search,established,37
2023-01-29,Organic Search,new,149
2023-01-29,Organic Shopping,established,1
2023-01-29,Organic Shopping,new,9
2023-01-29,Organic Social,established,3
2023-01-29,Organic Social,new,8
2023-01-29,Paid Search,(not set),12
2023-01-29,Paid Search,established,125
2023-01-29,Paid Search,new,763
2023-01-29,Paid Social,(not set),14
2023-01-29,Paid Social,established,75
2023-01-29,Paid Social,new,209
2023-01-29,Payment Redirects,(not set),9
2023-01-29,Payment Redirects,established,29
2023-01-29,Payment Redirects,new,31
2023-01-29,Referral,new,9
2023-01-29,SMS,(not set),27
2023-01-29,SMS,established,164
2023-01-29,SMS,new,181
2023-01-29,Unassigned,(not set),33
2023-01-29,Unassigned,established,3
2023-01-29,Unassigned,new,29
2023-01-30,Affiliates,(not set),10
2023-01-30,Affiliates,established,71
2023-01-30,Affiliates,new,162
2023-01-30,Direct,(not set),12
2023-01-30,Direct,established,146
2023-01-30,Direct,new,666
2023-01-30,Email,(not set),25
2023-01-30,Email,established,181
2023-01-30,Email,new,301
2023-01-30,Organic Search,(not set),8
2023-01-30,Organic Search,established,39
2023-01-30,Organic Search,new,155
2023-01-30,Organic Shopping,established,1
2023-01-30,Organic Shopping,new,7
2023-01-30,Organic Social,new,15
2023-01-30,Paid Search,(not set),18
2023-01-30,Paid Search,established,82
2023-01-30,Paid Search,new,577
2023-01-30,Paid Social,(not set),15
2023-01-30,Paid Social,established,65
2023-01-30,Paid Social,new,216
2023-01-30,Payment Redirects,(not set),5
2023-01-30,Payment Redirects,established,24
2023-01-30,Payment Redirects,new,24
2023-01-30,Referral,established,1
2023-01-30,Referral,new,5
2023-01-30,SMS,(not set),17
2023-01-30,SMS,established,144
2023-01-30,SMS,new,251
2023-01-30,Unassigned,(not set),36
2023-01-30,Unassigned,established,1
2023-01-30,Unassigned,new,30
2023-01-31,Affiliates,(not set),9
2023-01-31,Affiliates,established,101
2023-01-31,Affiliates,new,316
2023-01-31,Direct,(not set),16
2023-01-31,Direct,established,135
2023-01-31,Direct,new,698
2023-01-31,Display,established,1
2023-01-31,Email,(not set),20
2023-01-31,Email,established,235
2023-01-31,Email,new,407
2023-01-31,Organic Search,(not set),11
2023-01-31,Organic Search,established,47
2023-01-31,Organic Search,new,172
2023-01-31,Organic Shopping,new,4
2023-01-31,Organic Social,new,16
2023-01-31,Paid Search,(not set),12
2023-01-31,Paid Search,established,164
2023-01-31,Paid Search,new,617
2023-01-31,Paid Social,(not set),3
2023-01-31,Paid Social,established,87
2023-01-31,Paid Social,new,143
