date,sessions,engaged_sessions
2022-11-27,254210,154310
2022-11-28,309063,194550
2022-11-29,246267,147738
2022-11-30,250180,147688
2022-12-01,212501,126380
2022-12-02,180565,105194
2022-12-03,185019,103002
2022-12-04,180197,107544
2022-12-05,169331,99110
2022-12-06,187504,110743
2022-12-07,176761,103124
2022-12-08,174439,103181
2022-12-09,180828,104843
2022-12-10,181512,108731
2022-12-11,185396,110357
2022-12-12,168443,99847
2022-12-13,156430,87403
2022-12-14,147683,87396
2022-12-15,163065,97391
2022-12-16,161373,95976
2022-12-17,171014,99581
2022-12-18,156520,92299
2022-12-19,153033,88544
2022-12-20,145366,86293
2022-12-21,140322,80261
2022-12-22,134137,73964
2022-12-23,122043,68989
2022-12-24,123915,69579
2022-12-25,156065,94252
2022-12-26,164284,98527
2022-12-27,148341,86917
2022-12-28,139733,79632
2022-12-29,152779,89501
2022-12-30,129584,77930
2022-12-31,117614,65794
2023-01-01,120392,70005
2023-01-02,126151,74008
2023-01-03,124045,71298
2023-01-04,137820,85267
2023-01-05,128634,75112
2023-01-06,120339,69277
2023-01-07,121918,73399
2023-01-08,122927,75355
2023-01-09,115251,69488
2023-01-10,114592,67244
2023-01-11,110347,64370
2023-01-12,118490,70139
2023-01-13,119509,72407
2023-01-14,133941,79901
2023-01-15,135150,80917
2023-01-16,122911,71555
2023-01-17,117179,70080
2023-01-18,107775,64383
2023-01-19,114165,68376
2023-01-20,141949,83624
2023-01-21,151269,85922
2023-01-22,138744,81200
2023-01-23,118706,67484
2023-01-24,112909,63909
2023-01-25,127799,74755
2023-01-26,119346,70070
2023-01-27,112901,64249
2023-01-28,119523,69134
2023-01-29,115365,67148
2023-01-30,111144,63281
2023-01-31,102653,59980
2023-02-01,102855,61578
2023-02-02,114864,70694
2023-02-03,121245,72892
2023-02-04,121503,74379
2023-02-05,127720,77225
2023-02-06,121733,72047
2023-02-07,119964,71712
2023-02-08,116254,69087
2023-02-09,114054,70284
2023-02-10,109092,64206
2023-02-11,112357,68020
2023-02-12,111044,65225
2023-02-13,107963,60915
2023-02-14,105637,61270
2023-02-15,115552,67862
2023-02-16,113163,69163
2023-02-17,110963,66321
2023-02-18,114853,71274
2023-02-19,123543,76478
2023-02-20,123326,73314
2023-02-21,114867,69066
2023-02-22,123155,75905
2023-02-23,129504,77442
2023-02-24,119183,88392
2023-02-25,120505,88722
2023-02-26,127056,93280
2023-02-27,118848,87544
2023-02-28,113010,83508
2023-03-01,112131,82672
2023-03-02,107323,76884
2023-03-03,120587,86807
2023-03-04,116682,87889
2023-03-05,121794,91383
2023-03-06,110270,81722
2023-03-07,106959,78773
2023-03-08,117105,85976
2023-03-09,117807,85787
2023-03-10,115150,85688
2023-03-11,119047,88543
2023-03-12,114912,85317
2023-03-13,107449,79885
2023-03-14,109049,81058
2023-03-15,111466,84336
2023-03-16,105032,77168
2023-03-17,105590,76653
2023-03-18,115067,84051
2023-03-19,124062,93052
2023-03-20,106270,76281
2023-03-21,109835,83513
2023-03-22,131163,94731
2023-03-23,151789,108862
2023-03-24,130870,90908
2023-03-25,109665,83840
2023-03-26,137434,101724
2023-03-27,129572,98539
2023-03-28,128532,93815
2023-03-29,118866,87030
2023-03-30,107354,76854
2023-03-31,128167,93342
2023-04-01,121100,90374
2023-04-02,119533,89944
2023-04-03,117903,83997
2023-04-04,111565,80763
2023-04-05,108761,81582
2023-04-06,104579,78889
2023-04-07,107026,83844
2023-04-08,94845,74415
2023-04-09,108022,80077
2023-04-10,105753,77729
2023-04-11,98754,74176
2023-04-12,96224,75683
2023-04-13,106580,82711
2023-04-14,105737,81385
2023-04-15,106899,80747
2023-04-16,118830,91527
2023-04-17,113832,86739
2023-04-18,112953,86902
2023-04-19,96782,73338
2023-04-20,116022,87460
2023-04-21,116447,85464
2023-04-22,114667,85725
2023-04-23,118081,88240
2023-04-24,129934,93729
2023-04-25,110384,81126
2023-04-26,104258,77310
2023-04-27,115517,84655
2023-04-28,109470,78548
2023-04-29,108002,78683
2023-04-30,108172,81228
2023-05-01,94656,72039
2023-05-02,89668,68130
2023-05-03,86065,65033
2023-05-04,105387,77005
2023-05-05,95701,72165
2023-05-06,83561,64093
2023-05-07,92234,71977
2023-05-08,88454,66863
2023-05-09,85788,63913
2023-05-10,88367,67003
2023-05-11,89558,66142
2023-05-12,91380,67433
2023-05-13,92684,67947
2023-05-14,92402,69987
2023-05-15,94349,71396
2023-05-16,92465,71370
2023-05-17,95491,73091
2023-05-18,90213,67265
2023-05-19,99913,76954
2023-05-20,93893,75312
2023-05-21,100672,80719
2023-05-22,99948,77624
2023-05-23,96974,73763
2023-05-24,107195,86803
2023-05-25,132533,102531
2023-05-26,118242,89729
2023-05-27,113378,86490
2023-05-28,105490,81545
2023-05-29,109828,81416
2023-05-30,112996,82220
2023-05-31,115165,82693
2023-06-01,102792,74503
2023-06-02,91641,70255
2023-06-03,94166,69342
2023-06-04,95982,72652
2023-06-05,106471,82844
2023-06-06,102387,77755
2023-06-07,104676,79760
2023-06-08,99480,76301
2023-06-09,85167,65722
2023-06-10,81003,63069
2023-06-11,92223,72534
2023-06-12,94943,72397
2023-06-13,96936,70748
2023-06-14,98747,75007
2023-06-15,98518,75519
2023-06-16,89945,67732
2023-06-17,93925,72885
2023-06-18,99848,74906
2023-06-19,95392,70864
2023-06-20,96668,72260
2023-06-21,92321,69626
2023-06-22,94221,69719
2023-06-23,93231,67147
2023-06-24,86982,64047
2023-06-25,92958,71095
2023-06-26,98036,74135
2023-06-27,108618,81216
2023-06-28,104740,78193
2023-06-29,113281,85426
2023-06-30,115400,87854
2023-07-01,114972,87675
2023-07-02,115904,89404
2023-07-03,100337,75390
2023-07-04,103322,78756
2023-07-05,101223,75056
2023-07-06,101755,78185
2023-07-07,92359,69966
2023-07-08,99011,75471
2023-07-09,101552,76933
2023-07-10,101848,77432
2023-07-11,110196,82819
2023-07-12,106131,81890
2023-07-13,120046,95251
2023-07-14,119394,93783
2023-07-15,122965,94351
2023-07-16,137006,104873
2023-07-17,125434,96299
2023-07-18,125416,94546
2023-07-19,121016,94634
2023-07-20,124735,96855
2023-07-21,108206,83136
2023-07-22,106091,80567
2023-07-23,112453,84739
2023-07-24,120453,91510
2023-07-25,114989,88326
2023-07-26,120985,93712
2023-07-27,137393,107692
2023-07-28,138815,108555
2023-07-29,144399,114797
2023-07-30,139771,109165
2023-07-31,129344,98586
2023-08-01,122426,95462
2023-08-02,123311,97979
2023-08-03,128202,100521
2023-08-04,116838,92991
2023-08-05,119737,95837
2023-08-06,119224,94888
2023-08-07,118478,93822
2023-08-08,123195,97721
2023-08-09,120660,93790
2023-08-10,117042,90935
2023-08-11,107251,85165
2023-08-12,110031,87322
2023-08-13,111260,86717
2023-08-14,132658,104807
2023-08-15,137971,110941
2023-08-16,135324,106864
2023-08-17,116353,90269
2023-08-18,118597,92271
2023-08-19,123610,99516
2023-08-20,127375,100254
2023-08-21,124694,94745
2023-08-22,118700,92584
2023-08-23,121777,94513
2023-08-24,121832,95501
2023-08-25,115016,90692
2023-08-26,117423,91958
2023-08-27,108886,86703
2023-08-28,103166,83126
2023-08-29,115721,93998
2023-08-30,109826,89394
2023-08-31,106311,87139
2023-09-01,107200,88088
2023-09-02,112113,90099
2023-09-03,123954,98434
2023-09-04,130874,106592
2023-09-05,118625,94204
2023-09-06,110226,89031
2023-09-07,113971,91277
2023-09-08,111096,88945
2023-09-09,113606,91714
2023-09-10,116495,96630
2023-09-11,109885,86379
2023-09-12,122194,95083
2023-09-13,119037,94653
2023-09-14,112073,88648
2023-09-15,114211,92147
2023-09-16,116006,91779
2023-09-17,134859,108214
2023-09-18,140240,112899
2023-09-19,139239,110737
2023-09-20,132775,104688
2023-09-21,119931,94308
