Date,Total Downloads
2016-04-21,36
2016-04-22,103
2016-04-23,93
2016-04-24,117
2016-04-25,119
2016-04-26,107
2016-04-27,95
2016-04-28,82
2016-04-29,79
2016-04-30,68
2016-05-01,80
2016-05-02,84
2016-05-03,64
2016-05-04,67
2016-05-05,106
2016-05-06,67
2016-05-07,68
2016-05-08,79
2016-05-09,79
2016-05-10,67
2016-05-11,62
2016-05-12,70
2016-05-13,66
2016-05-14,53
2016-05-15,73
2016-05-16,84
2016-05-17,88
2016-05-18,72
2016-05-19,68
2016-05-20,81
2016-05-21,78
2016-05-22,83
2016-05-23,76
2016-05-24,55
2016-05-25,60
2016-05-26,52
2016-05-27,52
2016-05-28,53
2016-05-29,71
2016-05-30,67
2016-05-31,86
2016-06-01,48
2016-06-02,68
2016-06-03,55
2016-06-04,75
2016-06-05,81
2016-06-06,82
2016-06-07,75
2016-06-08,92
2016-06-09,73
2016-06-10,81
2016-06-11,80
2016-06-12,99
2016-06-13,83
2016-06-14,56
2016-06-15,83
2016-06-16,58
2016-06-17,103
2016-06-18,60
2016-06-19,72
2016-06-20,54
2016-06-21,78
2016-06-22,64
2016-06-23,52
2016-06-24,74
2016-06-25,60
2016-06-26,72
2016-06-27,66
2016-06-28,71
2016-06-29,80
2016-06-30,77
2016-07-01,88
2016-07-02,64
2016-07-03,69
2016-07-04,66
2016-07-05,68
2016-07-06,66
2016-07-07,81
2016-07-08,56
2016-07-09,51
2016-07-10,70
2016-07-11,97
2016-07-12,82
2016-07-13,79
2016-07-14,89
2016-07-15,77
2016-07-16,75
2016-07-17,78
2016-07-18,85
2016-07-19,86
2016-07-20,81
2016-07-21,68
2016-07-22,50
2016-07-23,53
2016-07-24,61
2016-07-25,71
2016-07-26,75
2016-07-27,68
2016-07-28,69
2016-07-29,102
2016-07-30,91
2016-07-31,76
2016-08-01,94
2016-08-02,67
2016-08-03,71
2016-08-04,86
2016-08-05,81
2016-08-06,76
2016-08-07,76
2016-08-08,86
2016-08-09,89
2016-08-10,83
2016-08-11,89
2016-08-12,90
2016-08-13,95
2016-08-14,82
2016-08-15,94
2016-08-16,82
2016-08-17,37
2016-08-18,68
2016-08-19,49
2016-08-20,56
2016-08-21,61
2016-08-22,64
2016-08-23,86
2016-08-24,62
2016-08-25,80
2016-08-26,72
2016-08-27,64
2016-08-28,89
2016-08-29,76
2016-08-30,87
2016-08-31,71
2016-09-01,62
2016-09-02,81
2016-09-03,72
2016-09-04,84
2016-09-05,79
2016-09-06,81
2016-09-07,74
2016-09-08,85
2016-09-09,73
2016-09-10,101
2016-09-11,80
2016-09-12,80
2016-09-13,72
2016-09-14,75
2016-09-15,73
2016-09-16,66
2016-09-17,76
2016-09-18,84
2016-09-19,80
2016-09-20,75
2016-09-21,71
2016-09-22,76
2016-09-23,89
2016-09-24,107
2016-09-25,643
2016-09-26,742
2016-09-27,166
2016-09-28,185
2016-09-29,166
2016-09-30,101
2016-10-01,114
2016-10-02,92
2016-10-03,111
2016-10-04,112
2016-10-05,83
2016-10-06,110
2016-10-07,242
2016-10-08,171
2016-10-09,250
2016-10-10,367
2016-10-11,787
2016-10-12,781
2016-10-13,560
2016-10-14,608
2016-10-15,526
2016-10-16,648
2016-10-17,481
2016-10-18,3139
2016-10-19,1219
2016-10-20,681
2016-10-21,600
2016-10-22,597
2016-10-23,583
2016-10-24,589
2016-10-25,491
2016-10-26,500
2016-10-27,432
2016-10-28,347
2016-10-29,364
2016-10-30,456
2016-10-31,425
2016-11-01,334
2016-11-02,357
2016-11-03,370
2016-11-04,372
2016-11-05,433
2016-11-06,467
2016-11-07,322
2016-11-08,276
2016-11-09,344
2016-11-10,387
2016-11-11,423
2016-11-12,254
2016-11-13,170
2016-11-14,168
2016-11-15,130
2016-11-16,164
2016-11-17,170
2016-11-18,104
2016-11-19,130
2016-11-20,130
2016-11-21,138
2016-11-22,149
2016-11-23,150
2016-11-24,200
2016-11-25,264
2016-11-26,245
2016-11-27,232
2016-11-28,284
2016-11-29,215
2016-11-30,179
2016-12-01,138
2016-12-02,119
2016-12-03,126
2016-12-04,133
2016-12-05,136
2016-12-06,152
2016-12-07,120
2016-12-08,104
2016-12-09,126
2016-12-10,129
2016-12-11,152
2016-12-12,140
2016-12-13,118
2016-12-14,102
2016-12-15,128
2016-12-16,91
2016-12-17,125
2016-12-18,146
2016-12-19,133
2016-12-20,108
2016-12-21,115
2016-12-22,121
2016-12-23,141
2016-12-24,116
2016-12-25,184
2016-12-26,209
2016-12-27,173
2016-12-28,129
2016-12-29,124
2016-12-30,115
2016-12-31,91
2017-01-01,91
2017-01-02,140
2017-01-03,115
2017-01-04,93
2017-01-05,92
2017-01-06,86
2017-01-07,76
2017-01-08,99
2017-01-09,99
2017-01-10,97
2017-01-11,77
2017-01-12,107
2017-01-13,113
2017-01-14,119
2017-01-15,111
2017-01-16,107
2017-01-17,103
2017-01-18,110
2017-01-19,98
2017-01-20,91
2017-01-21,104
2017-01-22,132
2017-01-23,105
2017-01-24,87
2017-01-25,84
2017-01-26,93
2017-01-27,83
2017-01-28,91
2017-01-29,131
2017-01-30,114
2017-01-31,107
2017-02-01,95
2017-02-02,91
2017-02-03,71
2017-02-04,89
2017-02-05,101
2017-02-06,118
2017-02-07,99
2017-02-08,83
2017-02-09,89
2017-02-10,90
2017-02-11,91
2017-02-12,104
2017-02-13,91
2017-02-14,76
2017-02-15,82
2017-02-16,84
2017-02-17,84
2017-02-18,88
2017-02-19,109
2017-02-20,92
2017-02-21,106
2017-02-22,100
2017-02-23,107
2017-02-24,100
2017-02-25,109
2017-02-26,132
2017-02-27,132
2017-02-28,101
2017-03-01,94
2017-03-02,113
2017-03-03,91
2017-03-04,90
2017-03-05,128
2017-03-06,117
2017-03-07,102
2017-03-08,99
2017-03-09,91
2017-03-10,101
2017-03-11,94
2017-03-12,127
2017-03-13,120
2017-03-14,121
2017-03-15,102
2017-03-16,123
2017-03-17,105
2017-03-18,104
2017-03-19,124
2017-03-20,149
2017-03-21,140
2017-03-22,124
2017-03-23,111
2017-03-24,88
2017-03-25,111
2017-03-26,106
2017-03-27,114
2017-03-28,91
2017-03-29,97
2017-03-30,88
2017-03-31,98
2017-04-01,92
2017-04-02,111
2017-04-03,106
2017-04-04,96
2017-04-05,92
2017-04-06,91
2017-04-07,103
2017-04-08,110
2017-04-09,118
2017-04-10,111
2017-04-11,110
2017-04-12,109
2017-04-13,87
2017-04-14,95
2017-04-15,105
2017-04-16,119
2017-04-17,102
2017-04-18,118
2017-04-19,124
2017-04-20,104
2017-04-21,103
2017-04-22,129
2017-04-23,122
2017-04-24,134
2017-04-25,102
2017-04-26,108
2017-04-27,107
2017-04-28,73
2017-04-29,111
2017-04-30,125
2017-05-01,109
2017-05-02,87
2017-05-03,99
2017-05-04,76
2017-05-05,91
2017-05-06,80
2017-05-07,94
2017-05-08,71
2017-05-09,105
2017-05-10,82
2017-05-11,83
2017-05-12,65
2017-05-13,95
2017-05-14,89
2017-05-15,94
2017-05-16,83
2017-05-17,68
2017-05-18,91
2017-05-19,101
2017-05-20,84
2017-05-21,85
2017-05-22,88
2017-05-23,100
2017-05-24,90
2017-05-25,106
2017-05-26,99
2017-05-27,102
2017-05-28,114
2017-05-29,125
2017-05-30,89
2017-05-31,100
2017-06-01,95
2017-06-02,82
2017-06-03,83
2017-06-04,99
2017-06-05,109
2017-06-06,100
2017-06-07,98
2017-06-08,99
2017-06-09,113
2017-06-10,96
2017-06-11,96
2017-06-12,130
2017-06-13,133
2017-06-14,123
2017-06-15,87
2017-06-16,122
2017-06-17,105
2017-06-18,105
2017-06-19,114
2017-06-20,106
2017-06-21,115
2017-06-22,113
2017-06-23,107
2017-06-24,105
2017-06-25,102
2017-06-26,100
2017-06-27,117
2017-06-28,118
2017-06-29,120
2017-06-30,124
2017-07-01,120
2017-07-02,107
2017-07-03,119
2017-07-04,107
2017-07-05,135
2017-07-06,151
2017-07-07,114
2017-07-08,131
2017-07-09,132
2017-07-10,130
2017-07-11,104
2017-07-12,109
2017-07-13,134
2017-07-14,125
2017-07-15,132
2017-07-16,131
2017-07-17,137
2017-07-18,143
2017-07-19,154
2017-07-20,147
2017-07-21,117
2017-07-22,98
2017-07-23,136
2017-07-24,172
2017-07-25,128
2017-07-26,146
2017-07-27,117
2017-07-28,136
2017-07-29,126
2017-07-30,128
2017-07-31,144
2017-08-01,146
2017-08-02,146
2017-08-03,126
2017-08-04,118
2017-08-05,162
