date,channel,spend
2023-02-04,Email,8500
2023-02-04,SMS,51372.52
2023-02-04,Paid Search,89094.65
2023-02-04,Affiliates,16085.75
2023-02-04,Display,4272.39
2023-02-04,Paid Social,27519.05
2023-02-11,Email,8500
2023-02-11,SMS,55213.54
2023-02-11,Paid Search,92169.92
2023-02-11,Affiliates,15789.92
2023-02-11,Display,4113.47
2023-02-11,Paid Social,26603.88
2023-02-18,Email,8500
2023-02-18,SMS,62700.8
2023-02-18,Paid Search,100233.21
2023-02-18,Affiliates,16641.41
2023-02-18,Display,4155.51
2023-02-18,Paid Social,33613.81
2023-02-25,Email,8500
2023-02-25,SMS,73759.39
2023-02-25,Paid Search,99107.16
2023-02-25,Affiliates,19169.08
2023-02-25,Display,3946.46
2023-02-25,Paid Social,44734.2
2023-03-04,Email,8500
2023-03-04,SMS,72421.67
2023-03-04,Paid Search,105451.59
2023-03-04,Affiliates,18366.95
2023-03-04,Display,8192.85
2023-03-04,Paid Social,36473.12
2023-03-11,Email,8500
2023-03-11,SMS,63697.14
2023-03-11,Paid Search,110009.91
2023-03-11,Affiliates,17239.97
2023-03-11,Display,6825.6
2023-03-11,Paid Social,37722.31
2023-03-18,Email,8500
2023-03-18,SMS,32972.9
2023-03-18,Paid Search,87335.37
2023-03-18,Affiliates,15384.91
2023-03-18,Display,7004.19
2023-03-18,Paid Social,43635.03
2023-03-25,Email,8500
2023-03-25,SMS,37796.87
2023-03-25,Paid Search,80170.6
2023-03-25,Affiliates,16114.71
2023-03-25,Display,7457.37
2023-03-25,Paid Social,43878.22
2023-04-01,Email,8500
2023-04-01,SMS,33656.11
2023-04-01,Paid Search,84809.25
2023-04-01,Affiliates,14757.08
2023-04-01,Display,4225.37
2023-04-01,Paid Social,42670.81
2023-04-08,Email,8500
2023-04-08,SMS,32452.39
2023-04-08,Paid Search,72298.34
2023-04-08,Affiliates,11508.56
2023-04-08,Display,7389.43
2023-04-08,Paid Social,47579.46
2023-04-15,Email,8500
2023-04-15,SMS,32155.66
2023-04-15,Paid Search,77881.77
2023-04-15,Affiliates,11709.31
2023-04-15,Display,2271.95
2023-04-15,Paid Social,32006.51
2023-04-22,Email,8500
2023-04-22,SMS,31285.65
2023-04-22,Paid Search,80805.9
2023-04-22,Affiliates,14935.64
2023-04-22,Display,2000.56
2023-04-22,Paid Social,55892.73
2023-04-29,Email,8500
2023-04-29,SMS,32950.62
2023-04-29,Paid Search,86936.3
2023-04-29,Affiliates,16725.16
2023-04-29,Display,1662.23
2023-04-29,Paid Social,58727.21
2023-05-06,Email,8500
2023-05-06,SMS,28647.57
2023-05-06,Paid Search,84691.6
2023-05-06,Affiliates,13866.88
2023-05-06,Display,266.61
2023-05-06,Paid Social,43048.19
2023-05-13,Email,8500
2023-05-13,SMS,33765.14
2023-05-13,Paid Search,79863.23
2023-05-13,Affiliates,18378.24
2023-05-13,Display,899.17
2023-05-13,Paid Social,40161.9
2023-05-20,Email,8500
2023-05-20,SMS,27371.53
2023-05-20,Paid Search,75848.23
