channel,sku,date,inventory_units,inventory_cost,inventory_retail
003:Outlet,025634612368,4/19/2025,1,3.72,14.97
003:Outlet,025634612375,4/19/2025,1,4.4496276,0
003:Outlet,025634612412,4/19/2025,1,3.81337008,30.941648
003:Outlet,025634612429,4/19/2025,2,9.251358,0
003:Outlet,025634612436,4/19/2025,1,3.81337008,20.61912
003:Outlet,025634612443,4/19/2025,1,3.81337008,20.632088
003:Outlet,040077554273,4/19/2025,3,51.03971376,126.438
003:Outlet,040077554303,4/19/2025,1,6.94215944,42.146
003:Outlet,040077570976,4/19/2025,-1,-6.78,-39.97
003:Outlet,040077571003,4/19/2025,-7,-38.6090208,-289.74687
003:Outlet,040077571027,4/19/2025,-1,-4.78,-49
003:Outlet,040077602684,4/19/2025,4,46.93326688,211.793376
003:Outlet,190162138625,4/19/2025,1,21.0807808,74.566
003:Outlet,190162159279,4/19/2025,1,38.62207568,0
003:Outlet,190162163900,4/19/2025,1,10.69678448,21.604688
003:Outlet,190162163993,4/19/2025,1,10.69678448,10.737504
003:Outlet,190162164129,4/19/2025,1,10.69678448,21.604688
003:Outlet,190162164174,4/19/2025,9,96.27106032,97.182192
003:Outlet,190162168240,4/19/2025,1,14.96974048,63.763656
003:Outlet,190162193556,4/19/2025,1,11.91901848,10.802344
003:Outlet,190162195451,4/19/2025,1,27.1919508,0
003:Outlet,190162195574,4/19/2025,1,24.1412288,0
003:Outlet,190162196465,4/19/2025,1,24.1412288,54.024688
003:Outlet,190162200131,4/19/2025,1,11.91901848,0
003:Outlet,190162206126,4/19/2025,1,21.0807808,0
003:Outlet,190162206379,4/19/2025,1,10.69678448,52.948344
003:Outlet,190162206591,4/19/2025,2,23.83803696,105.94856
003:Outlet,190162206713,4/19/2025,1,13.74750648,63.763656
003:Outlet,190162206942,4/19/2025,1,21.0807808,64.84
003:Outlet,190162207451,4/19/2025,1,24.1412288,106.986
003:Outlet,190162207475,4/19/2025,1,24.1412288,106.986
003:Outlet,190162208106,4/19/2025,1,24.1412288,0
003:Outlet,190162209967,4/19/2025,-1,-24.69,-19.95
003:Outlet,190162210109,4/19/2025,1,18.03018848,43.222344
003:Outlet,190162211472,4/19/2025,1,24.1412288,118.864688
003:Outlet,190162211632,4/19/2025,1,18.03018848,43.222344
003:Outlet,190162212622,4/19/2025,1,27.1919508,0
003:Outlet,190162213339,4/19/2025,1,24.1412288,106.986
003:Outlet,190162220771,4/19/2025,1,6.87,9.95
003:Outlet,190162232316,4/19/2025,1,27.1919508,96.15772
003:Outlet,190162232491,4/19/2025,1,39.41403144,54.024688
003:Outlet,190162234631,4/19/2025,1,21.0807808,74.566
003:Outlet,190162235034,4/19/2025,1,11.91901848,63.724752
003:Outlet,190162235058,4/19/2025,1,11.91901848,63.698816
003:Outlet,190162235195,4/19/2025,1,11.91901848,63.750688
003:Outlet,190162235287,4/19/2025,1,11.91901848,63.763656
003:Outlet,190162235317,4/19/2025,1,11.91901848,63.763656
003:Outlet,190162235355,4/19/2025,3,35.75705544,191.290968
003:Outlet,190162235393,4/19/2025,2,23.83803696,43.209376
003:Outlet,190162235478,4/19/2025,1,27.1919508,117.788344
003:Outlet,190162235607,4/19/2025,1,24.1412288,128.603656
003:Outlet,190162235621,4/19/2025,1,24.1412288,128.603656
003:Outlet,190162236734,4/19/2025,1,27.1919508,95.989136
003:Outlet,190162236888,4/19/2025,1,39.41403144,54.024688
003:Outlet,190162236901,4/19/2025,1,39.41403144,54.024688
003:Outlet,190162238509,4/19/2025,1,24.1412288,32.432968
003:Outlet,190162239438,4/19/2025,1,27.1919508,117.775376
003:Outlet,190162241134,4/19/2025,1,13.74750648,48.63
003:Outlet,190162255155,4/19/2025,1,21.05147312,0
003:Outlet,190162259290,4/19/2025,2,23.83803696,97.26
003:Outlet,190162262030,4/19/2025,1,24.1412288,0
003:Outlet,190162263907,4/19/2025,1,15.72266256,32.458904
003:Outlet,190162276464,4/19/2025,1,6.87,4.95
003:Outlet,190162281840,4/19/2025,1,39.41403144,139.406
003:Outlet,190162290057,4/19/2025,1,16,4.95
003:Outlet,190162294321,4/19/2025,1,15.72266256,0
003:Outlet,190162306444,4/19/2025,2,58.0797816,0
003:Outlet,190162323069,4/19/2025,1,15.35099968,0
003:Outlet,190162324257,4/19/2025,1,10.99997632,0
003:Outlet,190162326787,4/19/2025,1,7.93952832,0
