date,windows_signage,interiors,store_promo_ty,ecom_promo_ty,store_promo_ly,ecom_promo_ly
2025-02-02,,,"END OF SEASON SALE: 30% OFF REG; 40% OFF KIDS; TEES 2 FOR $59; $39 M HENLEY, $39 M POLO, $29 W RIB TOP; $79 W FLEECE VARSITY; 50% OFF SELECT M DENIM; 50% OFF CLEARANCE (SELECT 60%, SELECT 70%)"," REG PPT: ACTIVE STARTING AT $49, DENIM STARTING AT $59, TEES STARTING AT $19, EXTRA 50-60% OFF MD",END OF SEASON SALE: 30% OFF REG;  TEES 2 FOR $59; KIDS 40% OFF; 50% OFF DENIM TABLES; $29 SUNGLASSES; $39 M & W HENLEY; $59 M & W SELECT ACTIVE; $39 MEN'S DAMASK POLO; $49 M & W WOVENS; 50% OFF CLEARANCE (SELECT 60% OFF)," REG PPT: ACTIVE STARTING AT $49, DENIM STARTING AT $59, TEES STARTING AT $19, EXTRA 50-60% OFF MD"
2025-02-03,,,"END OF SEASON SALE: 30% OFF REG; 40% OFF KIDS; TEES 2 FOR $59; $39 M HENLEY, $39 M POLO, $29 W RIB TOP; $79 W FLEECE VARSITY; 50% OFF SELECT M DENIM; 50% OFF CLEARANCE (SELECT 60%, SELECT 70%)"," REG PPT: ACTIVE STARTING AT $49, DENIM STARTING AT $59, TEES STARTING AT $19, EXTRA 50-60% OFF MD",END OF SEASON SALE: 30% OFF REG;  TEES 2 FOR $59; KIDS 40% OFF; 50% OFF DENIM TABLES; $29 SUNGLASSES; $39 M & W HENLEY; $59 M & W SELECT ACTIVE; $39 MEN'S DAMASK POLO; $49 M & W WOVENS; 50% OFF CLEARANCE (SELECT 60% OFF)," REG PPT: ACTIVE STARTING AT $49, DENIM STARTING AT $59, TEES STARTING AT $19, EXTRA 50-60% OFF MD"
2025-02-04,,,"END OF SEASON SALE: 30% OFF REG; 40% OFF KIDS; TEES 2 FOR $59; $39 M HENLEY, $39 M POLO, $29 W RIB TOP; $79 W FLEECE VARSITY; 50% OFF SELECT M DENIM; 50% OFF CLEARANCE (SELECT 60%, SELECT 70%)"," REG PPT: ACTIVE STARTING AT $49, DENIM STARTING AT $59, TEES STARTING AT $19, EXTRA 50-60% OFF MD",END OF SEASON SALE: 30% OFF REG;  TEES 2 FOR $59; KIDS 40% OFF; 50% OFF DENIM TABLES; $29 SUNGLASSES; $39 M & W HENLEY; $59 M & W SELECT ACTIVE; $39 MEN'S DAMASK POLO; $49 M & W WOVENS; 50% OFF CLEARANCE (SELECT 60% OFF)," REG PPT: ACTIVE STARTING AT $49, DENIM STARTING AT $59, TEES STARTING AT $19, EXTRA 50-60% OFF MD"
2025-02-05,,,"END OF SEASON SALE: 30% OFF REG; 40% OFF KIDS; TEES 2 FOR $59; $39 M HENLEY, $39 M POLO, $29 W RIB TOP; $79 W FLEECE VARSITY; 50% OFF SELECT M DENIM; 50% OFF CLEARANCE (SELECT 60%, SELECT 70%)"," REG PPT: ACTIVE STARTING AT $49, DENIM STARTING AT $59, TEES STARTING AT $19, EXTRA 50-60% OFF MD",END OF SEASON SALE: 30% OFF REG;  TEES 2 FOR $59; KIDS 40% OFF; 50% OFF DENIM TABLES; $29 SUNGLASSES; $39 M & W HENLEY; $59 M & W SELECT ACTIVE; $39 MEN'S DAMASK POLO; $49 M & W WOVENS; 50% OFF CLEARANCE (SELECT 60% OFF)," REG PPT: ACTIVE STARTING AT $49, DENIM STARTING AT $59, TEES STARTING AT $19, EXTRA 50-60% OFF MD"
2025-02-06,"*NEW EDITORIAL BANNER
*SEG: UP TO 60% OFF SELECT STYLES
*LOWER: ADDITIONAL 50% OFF CLEARANCE",,"FLOORSET/MDS; 30% OFF REG; TEES 2 FOR $59; KIDS 40% OFF; HATS 40% OFF; $39 M POLO; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60%, SELECT 70% OFF)","FLOORSET/MEW MD'S: DENIM & TEES FOCUS 40% OFF; 30-50% OFF REG,  50-60% OFF MD (ANITTA CAMPAIGN LAUNCH)",FLOORSET/MDS;  TEES 2 FOR $59; KIDS 40% OFF; 50% OFF M DENIM TABLE; $39 M POLOS; $29 SUNGLASSES; $59 M SELECT ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"FLOORSET/MEW MD'S: DENIM & TEES FOCUS 40% OFF; 30-50% OFF REG,  50-60% OFF MD (SAWEETIE CAMPAIGN LAUNCH)"
2025-02-07,,,"30% OFF REG; TEES 2 FOR $59; KIDS 40% OFF; HATS 40% OFF; $39 M POLO; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60%, SELECT 70% OFF)","DENIM & TEES FOCUS 40% OFF; 30-50% OFF REG,  50-60% OFF MD",TEES 2 FOR $59; KIDS 40% OFF; 50% OFF M DENIM TABLE; $39 M POLOS; $29 SUNGLASSES; $59 M SELECT ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"DENIM & TEES FOCUS 40% OFF; 30-50% OFF REG,  50-60% OFF MD"
2025-02-08,,,"30% OFF REG; TEES 2 FOR $59; KIDS 40% OFF; HATS 40% OFF; $39 M POLO; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60%, SELECT 70% OFF)","DENIM & TEES FOCUS 40% OFF; 30-50% OFF REG,  50-60% OFF MD",TEES 2 FOR $59; KIDS 40% OFF; 50% OFF M DENIM TABLE; $39 M POLOS; $29 SUNGLASSES; $59 M SELECT ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"DENIM & TEES FOCUS 40% OFF; 30-50% OFF REG,  50-60% OFF MD"
2025-02-09,,,"30% OFF REG; TEES 2 FOR $59; KIDS 40% OFF; HATS 40% OFF; $39 M POLO; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60%, SELECT 70% OFF)","DENIM & TEES FOCUS 40% OFF; 30-50% OFF REG,  50-60% OFF MD  (SMS ONLY 24% OFF $150+ STACKABLE)",TEES 2 FOR $59; KIDS 40% OFF; 50% OFF M DENIM TABLE; $39 M POLOS; $29 SUNGLASSES; $59 M SELECT ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"DENIM & TEES FOCUS 40% OFF; 30-50% OFF REG,  50-60% OFF MD (SMS ONLY 24% OFF $150+ STACKABLE)"
2025-02-10,,,"30% OFF REG; TEES 2 FOR $59; KIDS 40% OFF; HATS 40% OFF; $39 M POLO; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60%, SELECT 70% OFF)","DENIM & TEES FOCUS 40% OFF; 30-50% OFF REG,  50-60% OFF MD",TEES 2 FOR $59; KIDS 40% OFF; 50% OFF M DENIM TABLE; $39 M POLOS; $29 SUNGLASSES; $59 M SELECT ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"DENIM & TEES FOCUS 40% OFF; 30-50% OFF REG,  50-60% OFF MD"
2025-02-11,,,"30% OFF REG; TEES 2 FOR $59; KIDS 40% OFF; HATS 40% OFF; $39 M POLO; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60%, SELECT 70% OFF)","DENIM & TEES FOCUS 40% OFF; 30-50% OFF REG,  50-60% OFF MD",TEES 2 FOR $59; KIDS 40% OFF; 50% OFF M DENIM TABLE; $39 M POLOS; $29 SUNGLASSES; $59 M SELECT ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"DENIM & TEES FOCUS 40% OFF; 30-50% OFF REG,  50-60% OFF MD"
2025-02-12,*CLING: EXTRA 40% OFF PRESIDENT'S DAY SALE,*NEW KEY ITEM SIGANGE $39 M & W POLOS,PRESIDENT'S DAY: 40% OFF ALL REG; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M HENLEYS OR $39 M&W POLOS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE)",PRESIDENT'S DAY: 40% OFF ALL REG; 50% OFF SELECT DENIM; $39 M POLOS; $59 SELECT M ACTIVE;  $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M & W HENLEYS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE)"
2025-02-13,,,PRESIDENT'S DAY: 40% OFF ALL REG; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M HENLEYS OR $39 M&W POLOS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE)",PRESIDENT'S DAY: 40% OFF ALL REG; 50% OFF SELECT DENIM; $39 M POLOS; $59 SELECT M ACTIVE;  $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M & W HENLEYS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE)"
2025-02-14,,,PRESIDENT'S DAY: 40% OFF ALL REG; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M HENLEYS OR $39 M&W POLOS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE)",PRESIDENT'S DAY: 40% OFF ALL REG; 50% OFF SELECT DENIM; $39 M POLOS; $59 SELECT M ACTIVE;  $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M & W HENLEYS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE)"
2025-02-15,,,PRESIDENT'S DAY: 40% OFF ALL REG; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M HENLEYS OR $39 M&W POLOS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE)",PRESIDENT'S DAY: 40% OFF ALL REG; 50% OFF SELECT DENIM; $39 M POLOS; $59 SELECT M ACTIVE;  $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M & W HENLEYS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE)"
2025-02-16,,,PRESIDENT'S DAY: 40% OFF ALL REG; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M HENLEYS OR $39 M&W POLOS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE)",PRESIDENT'S DAY: 40% OFF ALL REG; 50% OFF SELECT DENIM; $39 M POLOS; $59 SELECT M ACTIVE;  $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M & W HENLEYS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE)"
2025-02-17,,,PRESIDENT'S DAY: 40% OFF ALL REG; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M HENLEYS OR $39 M&W POLOS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE)",PRESIDENT'S DAY: 40% OFF ALL REG; 50% OFF SELECT DENIM; $39 M POLOS; $59 SELECT M ACTIVE;  $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M & W HENLEYS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE)"
2025-02-18,,,PRESIDENT'S DAY: 40% OFF ALL REG; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M HENLEYS OR $39 M&W POLOS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE)",PRESIDENT'S DAY: 40% OFF ALL REG; 50% OFF SELECT DENIM; $39 M POLOS; $59 SELECT M ACTIVE;  $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M & W HENLEYS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE EXTENDED)"
2025-02-19,,,PRESIDENT'S DAY: 40% OFF ALL REG; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M HENLEYS OR $39 M&W POLOS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE)",PRESIDENT'S DAY: 40% OFF ALL REG; 50% OFF SELECT DENIM; $39 M POLOS; $59 SELECT M ACTIVE;  $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"PRESIDENT'S DAY: 40% OFF REG (SELECT 30% & 50% OFF), $29 M & W HENLEYS; EXTRA 50-60% OFF MD (20% OFF $150+ STACKABLE EXTENDED)"
2025-02-20,"*SEG: UP TO 60% OFF SELECT STYLES
*LOWER: ADDITIONAL 40% OFF KIDS",,30% OFF REG; 40% OFF DENIM; KIDS 40% OFF; HATS 40% OFF; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"REG PPT: DENIM STARTING AT $79, ACTIVE STARTING AT $49, TEES & TANKS STARTING AT $29, EXTRA 50% OFF MD",30% OFF REG; 40% OFF DENIM; KIDS 40% OFF; $29 M & W HENLEYS; 50% OFF SELECT M DENIM; $39 M POLOS; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"REG PPT: DENIM STARTING AT $79, ACTIVE STARTING AT $49, TEES & TANKS STARTING AT $29, EXTRA 50% OFF MD (CAMO STORY)"
2025-02-21,,,30% OFF REG; 40% OFF DENIM; KIDS 40% OFF; HATS 40% OFF; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"REG PPT: DENIM STARTING AT $79, ACTIVE STARTING AT $49, TEES & TANKS STARTING AT $29, EXTRA 50% OFF MD ",30% OFF REG; 40% OFF DENIM; KIDS 40% OFF; $29 M & W HENLEYS; 50% OFF SELECT M DENIM; $39 M POLOS; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"REG PPT: DENIM STARTING AT $79, ACTIVE STARTING AT $49, TEES & TANKS STARTING AT $29, EXTRA 50% OFF MD "
2025-02-22,,,30% OFF REG; 40% OFF DENIM; KIDS 40% OFF; HATS 40% OFF; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"REG PPT: DENIM STARTING AT $79, ACTIVE STARTING AT $49, TEES & TANKS STARTING AT $29, EXTRA 50% OFF MD ",30% OFF REG; 40% OFF DENIM; KIDS 40% OFF; $29 M & W HENLEYS; 50% OFF SELECT M DENIM; $39 M POLOS; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"REG PPT: DENIM STARTING AT $79, ACTIVE STARTING AT $49, TEES & TANKS STARTING AT $29, EXTRA 50% OFF MD "
