creation_date,ship_date,status,orders,units
2025-06-22,2025-06-22,Closed,877,2076
2025-06-22,2025-06-23,Closed,1157,2739
2025-06-22,2025-06-24,Closed,4,10
2025-06-23,2025-06-23,Closed,1153,2762
2025-06-23,2025-06-24,Closed,847,2009
2025-06-24,2025-06-24,Closed,1090,2666
2025-06-24,2025-06-25,Closed,772,1730
2025-06-25,2025-06-25,Closed,1427,3359
2025-06-25,2025-06-26,Closed,699,1600
2025-06-26,2025-06-26,Closed,1596,3716
2025-06-26,2025-06-27,Closed,758,1686
2025-06-26,2025-06-29,Closed,1,1
2025-06-26,2025-06-30,Closed,1,1
2025-06-27,2025-06-27,Closed,1651,3829
2025-06-27,2025-06-28,Closed,909,2247
2025-06-27,2025-06-29,Closed,1,4
2025-06-28,2025-06-28,Closed,1072,3242
2025-06-28,2025-06-29,Closed,1464,4130
2025-06-28,2025-06-30,Closed,131,260
2025-06-29,2025-06-29,Closed,79,695
2025-06-29,2025-06-30,Closed,2539,7095
2025-06-29,2025-07-01,Closed,2,3
2025-06-30,2025-06-30,Closed,1784,5222
2025-06-30,2025-07-01,Closed,662,1947
2025-06-30,2025-07-02,Closed,2,17
2025-07-01,2025-07-01,Closed,1670,4869
2025-07-01,2025-07-02,Closed,1041,2915
2025-07-02,2025-07-02,Closed,2365,6634
2025-07-02,2025-07-03,Closed,759,2151
2025-07-03,2025-07-03,Closed,1986,5621
2025-07-03,2025-07-04,Closed,1620,4575
2025-07-04,2025-07-04,Closed,1668,4865
2025-07-04,2025-07-05,Closed,1654,5035
2025-07-04,2025-07-06,Closed,19,31
2025-07-04,2025-07-07,Closed,19,64
2025-07-05,2025-07-05,Closed,1121,3445
2025-07-05,2025-07-06,Closed,1509,3831
2025-07-05,2025-07-07,Closed,20,112
2025-07-06,2025-07-06,Closed,355,1457
2025-07-06,2025-07-07,Closed,2927,8017
2025-07-07,2025-07-07,Closed,1340,3091
2025-07-07,2025-07-08,Closed,409,953
2025-07-08,2025-07-08,Closed,1397,3080
2025-07-08,2025-07-09,Closed,646,1483
2025-07-09,2025-07-09,Closed,1433,3351
2025-07-09,2025-07-10,Closed,538,1140
2025-07-09,2025-07-11,Closed,1,4
2025-07-10,2025-07-10,Closed,1542,3444
2025-07-10,2025-07-11,Closed,1020,2249
2025-07-11,2025-07-11,Closed,1800,5979
2025-07-11,2025-07-12,Closed,1241,3218
2025-07-11,2025-07-13,Closed,277,865
2025-07-12,2025-07-12,Closed,312,1579
2025-07-12,2025-07-13,Closed,640,3974
2025-07-12,2025-07-14,Closed,2424,5081
2025-07-13,2025-07-13,Closed,151,1129
2025-07-13,2025-07-14,Closed,3406,10274
2025-07-13,2025-07-15,Closed,6,45
2025-07-14,2025-07-14,Closed,732,1856
2025-07-14,2025-07-15,Closed,1130,2482
2025-07-14,2025-07-16,Closed,1,1
2025-07-15,2025-07-15,Closed,2351,6670
2025-07-15,2025-07-16,Closed,1448,5098
2025-07-15,2025-07-17,Closed,157,1608
2025-07-15,2025-07-18,Closed,1,4
2025-07-16,2025-07-16,Closed,2525,6678
2025-07-16,2025-07-17,Closed,1253,3936
2025-07-16,2025-07-18,Closed,324,3403
2025-07-16,2025-07-19,Closed,2,17
2025-07-17,2025-07-17,Closed,2212,5643
2025-07-17,2025-07-18,Closed,1981,7548
2025-07-17,2025-07-19,Closed,38,407
2025-07-17,,Ship Confirm Pending,1,2
2025-07-18,2025-07-18,Closed,2961,8038
2025-07-18,2025-07-19,Closed,1622,6762
2025-07-18,,Wave Pending,2,11
2025-07-19,2025-07-19,Closed,1551,5186
2025-07-19,2025-07-20,Closed,2554,7490
2025-07-19,2025-07-21,Closed,23,106
2025-07-19,,In Packing,1,7
2025-07-19,,Packing Pending,52,193
2025-07-19,,Picking Pending,6,50
2025-07-19,,Ship Confirm Pending,1,1
2025-07-19,,Wave Pending,8,21
2025-07-20,2025-07-20,Closed,156,1075
2025-07-20,2025-07-21,Closed,25,63
2025-07-20,,In Packing,1,3
2025-07-20,,In Picking,522,1580
2025-07-20,,In Pool,2,25
2025-07-20,,Packing Pending,1254,4124
2025-07-20,,Picking Pending,565,1772
2025-07-20,,Ship Confirm Pending,12,45
2025-07-20,,Wave Pending,1503,3772
2025-07-21,,In Pool,87,260
2025-07-21,,Picking Pending,25,270
2025-07-21,,Wave Pending,216,637
