date,msrp_change
2025-04-24,$20 / $10
2025-04-25,$20 / $10
2025-04-26,$20 / $10
2025-04-27,$20 / $10
2025-04-28,$20 / $10
2025-04-29,$20 / $10
2025-04-30,$20 / $10
2025-05-01,$20 / $10
2025-05-02,$20 / $10
2025-05-03,$20 / $10
2025-05-04,$20 / $10
2025-05-05,$20 / $10
2025-05-06,$20 / $10
2025-05-07,$20 / $10
2025-05-08,$10 / $5
2025-05-09,$10 / $5
2025-05-10,$10 / $5
2025-05-11,$10 / $5
2025-05-12,$10 / $5
2025-05-13,$10 / $5
2025-05-14,$10 / $5
2025-05-15,$10 / $5
2025-05-16,$10 / $5
2025-05-17,$10 / $5
2025-05-18,$10 / $5
2025-05-19,$10 / $5
2025-05-20,$10 / $5
