date,payment_type,transactions,quantity,purchase_revenue
2023-01-29,AFTERPAY_PBI,255,617,37388.93
2023-01-29,AMAZON_PAYMENTS,21,52,3440.39
2023-01-29,Amex,19,49,3923.69
2023-01-29,Discover,18,43,2632.33
2023-01-29,DW_APPLE_PAY,114,250,15792.31
2023-01-29,FLOW_HOSTED_CHECKOUT,19,38,7070.51
2023-01-29,GIFT_CERTIFICATE,5,6,471.47
2023-01-29,Klarna,193,457,26238.36
2023-01-29,MasterCard,167,465,24826.83
2023-01-29,PayPal,139,403,21109.9
2023-01-29,Visa,468,1128,66924.43
2023-01-30,AFTERPAY_PBI,198,491,29138.49
2023-01-30,AMAZON_PAYMENTS,25,57,4714.86
2023-01-30,Amex,19,47,3182.94
2023-01-30,Discover,16,45,2851.69
2023-01-30,DW_APPLE_PAY,96,207,12988.06
2023-01-30,FLOW_HOSTED_CHECKOUT,17,34,6145.32
2023-01-30,GIFT_CERTIFICATE,4,5,310.14
2023-01-30,Klarna,169,450,25059.45
2023-01-30,MasterCard,129,337,18552.24
2023-01-30,PayPal,136,363,18840.38
2023-01-30,Visa,433,1062,64251.46
2023-01-31,AFTERPAY_PBI,245,566,35700.95
2023-01-31,AMAZON_PAYMENTS,37,107,5120.59
2023-01-31,Amex,22,72,4559.61
2023-01-31,Discover,15,57,2586.12
2023-01-31,DW_APPLE_PAY,111,262,15874.99
2023-01-31,FLOW_HOSTED_CHECKOUT,18,32,6320.46
2023-01-31,GIFT_CERTIFICATE,5,15,660.41
2023-01-31,Klarna,181,490,26306.25
2023-01-31,MasterCard,161,422,25642.1
2023-01-31,PayPal,154,455,25593.52
2023-01-31,Visa,444,1223,62571.22
2023-02-01,AFTERPAY_PBI,263,770,42084.54
2023-02-01,AMAZON_PAYMENTS,35,97,5880.56
2023-02-01,Amex,21,65,4317.17
2023-02-01,Discover,17,32,1865.35
2023-02-01,DW_APPLE_PAY,141,274,17551.55
2023-02-01,FLOW_HOSTED_CHECKOUT,23,39,6536.87
