style_color,=1/0,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
103070-1001,103070,OP  ,OP,12/10/2024,43960,-1,0,0,,,99,99,30% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
103070-2707,103070,OP,OP,12/10/2024,43962,-1,0,0,,,99,99,30% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
103070-4100,103070,OP,16H1,10/12/2022,43878,772,785,0,YES,LIVE,99,99,30% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
103070-6000,103070,OP  ,19S1,6/16/2022,43966,867,865,0,YES,LIVE,99,99,30% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
104932-1001,104932,FP,20H2,9/27/2024,44176,41,275,0,YES,,119,119,30% OFF,REG,,STORE-ONLY CORE HOLD,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
104932-1501,104932,FP,21M3,10/4/2024,44375,213,220,0,YES,LIVE,119,119,30% OFF,REG,,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
104932-2504,104932,FP,21M3,11/16/2021,44373,218,207,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
104932-4000,104932,FP,20H2,7/2/2021,,0,0,0,,,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
104932-4950,104932,FP,23F2,8/1/2023,45152,44,46,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
104932-6003,104932,FP,20H2,9/30/2024,44172,69,67,0,YES,LIVE,119,99.97,60% OFF,SALE,COLOR MD,,,One Site Pricing EOSS 1.3.25 updated 1.7.25 ty vs ly WITH FURTHERS.xlsx,Pricing,45728.33877,45728.35868
