style_color,inventory_class,season_code,last_receipt_date,first_sale_date,us_ecom_oh_u,inventory_feed,oo_u,image,online,msrp,sale_price,promo,category_reg_sale,notes,holds,new_arrivals,meta_source_file,meta_sheet_name,meta_file_timestamp,meta_extracted_timestamp
103070-1001,OP  ,OP,6/16/2022,43960,-1,0,0,YES,,99,99,69,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
103070-2707,OP,OP,6/16/2022,43962,24,25,0,YES,LIVE,99,99,69,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
103070-4100,OP,16H1,10/12/2022,43878,1255,1254,0,YES,LIVE,99,99,69,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
103070-6000,OP  ,19S1,6/16/2022,43966,1565,1824,0,YES,LIVE,99,99,69,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
104932-1001,FP,20H2,1/2/2024,44176,23,737,0,YES,,119,119,69,REG,,STORE-ONLY CORE HOLD,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
104932-1501,FP,21M3,1/8/2024,44375,506,917,0,YES,LIVE,119,119,69,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
104932-2504,FP,21M3,11/16/2021,44373,756,766,0,YES,LIVE,119,119,69,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
104932-4000,FP,20H2,7/2/2021,44172,17,17,0,YES,LIVE,119,119,69,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
104932-4950,FP,23F2,8/1/2023,45152,320,321,0,YES,LIVE,119,119,69,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
104932-6003,FP,20H2,6/24/2021,44172,217,219,0,YES,LIVE,119,119,69,REG,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
104979-4926,OP,20H3,,,0,0,0,YES,,119,94.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105106-1800,OP,21M2,5/4/2022,44327,3,1,0,YES,,89,69.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105287-3443,FP,21F1,6/29/2021,44425,1,0,0,YES,,129,69.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105315-4733,FP,21F3,8/19/2021,44440,1,0,0,YES,,129,79.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105427-1001,FP,21M3,,,0,0,0,YES,,119,79.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105486-1001,FP,21M3,7/12/2023,44392,0,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105486-1210,FP,23F3,8/22/2023,45162,-1,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105486-1501,FP,21M1,4/8/2023,45071,10,11,0,YES,LIVE,99,84.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105486-2504,FP,21M3,4/7/2023,44393,3,0,0,YES,,99,84.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105486-2721,FP,22F2,7/7/2023,44769,-2,270,0,YES,LIVE,99,84.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105486-4100,FP,21M3,7/7/2023,44392,-1,44,0,YES,LIVE,99,84.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105486-6059,FP,21M3,7/7/2023,44384,-6,85,0,YES,LIVE,99,84.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105491-1001,FP,21M1,,,0,0,0,YES,,89,49.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105586-1001,FP,21H2,,,0,0,0,YES,,119,69.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105586-4100,FP,21H2,3/4/2024,44542,28,28,0,YES,LIVE,119,69.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
105587-1001,FP,21H2,11/23/2021,44540,1,0,0,YES,,119,69.97,60% OFF,SALE,,,,One Site Pricing 3.22.24.xlsx,Pricing,45728.33429,45728.36501
